time,new confirmed,new confirmed including CD,current confirmed,current confirmed including CD,cum confirmed include clinical,new clinically diagnosed,Hubei clinically diagnosed,new suspected,current suspected,new serious,current serious,new death including CD,new death from CD,cum death including from clinical,new recovered,cum recovered,current on medical observation,today released,cum on medical observation,Input case,Cumulative Input,
3/1/2020,,202,,32652,80026,,,141,715,-255,7110,42,,2912,2837,44462,46219,8154,663240,,,
3/2/2020,,125,,30004,80151,,,129,587,-304,6806,31,,2943,2742,47204,40651,7650,664899,,,
3/3/2020,,119,,27433,80270,,,143,520,-390,6416,38,,2981,2652,49856,36432,6250,666397,,,
3/4/2020,,139,,25352,80409,,,143,522,-464,5952,31,,3012,2189,52045,32870,6584,669025,2,20,
3/5/2020,,143,,23784,80552,,,102,482,-215,5737,30,,3042,1681,53726,29896,5457,670854,16,36,
3/6/2020,,99,,22177,80651,,,99,502,-248,5489,28,,3070,1678,55404,26730,4773,672458,24,60,
3/7/2020,,44,,20533,80695,,,84,459,-225,5264,27,,3097,1661,57065,23074,4021,674038,3,63,
3/8/2020,,40,,19016,80735,,,60,421,-153,5111,22,,3119,1635,58600,20146,3802,674760,4,67,
3/9/2020,,19,,17721,80754,,,36,349,-317,4794,17,,3136,1297,59897,16982,4148,675338,2,69,
3/10/2020,,24,,16145,80778,,,31,285,-302,4492,22,,3158,1578,61475,14607,3235,675886,10,79,
3/11/2020,,15,,14831,80793,,,33,253,-235,4257,11,,3169,1318,62793,13701,2206,677243,6,85,
3/12/2020,,8,,13526,80813,,,33,147,-237,4020,7,,3176,1318,64111,12161,2483,678088,3,88,
