provincia,0
CABA,14706
Buenos Aires,13196
Chaco,1326
Río Negro,552
Córdoba,495
Santa Fe,285
Neuquén,209
Tierra del Fuego,149
Mendoza,112
Corrientes,103
Entre Ríos,86
La Rioja,64
Tucumán,56
Santa Cruz,51
Chubut,41
Misiones,37
Formosa,33
Santiago del Estero,22
Salta,21
San Luis,11
Jujuy,8
San Juan,7
La Pampa,6
