Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Asia,0.0,1107520.0,27086.0,30207.0,541.0,672392.0,404921.0,13621.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,2040833.0,28857.0,123472.0,1510.0,668262.0,1249099.0,19427.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,844619.0,44565.0,39315.0,1137.0,345821.0,459483.0,11281.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,2004226.0,17357.0,173280.0,749.0,978245.0,852701.0,8796.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,143769.0,6225.0,4092.0,147.0,60987.0,78690.0,370.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8794.0,12.0,125.0,0.0,8188.0,481.0,4.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,6150482.0,124102.0,370506.0,4084.0,2734546.0,3045430.0,53503.0,789.0,47.5,0.0,0.0,0.0
China,1.0,82999.0,4.0,4634.0,0.0,78302.0,63.0,3.0,58.0,3.0,0.0,0.0,1439323776.0
USA,2.0,1816820.0,23290.0,105557.0,1015.0,535238.0,1176025.0,17163.0,5492.0,319.0,17270841.0,52203.0,330838184.0
Brazil,3.0,498440.0,30102.0,28834.0,890.0,205371.0,264235.0,8318.0,2346.0,136.0,930013.0,4378.0,212430396.0
Russia,4.0,396575.0,8952.0,4555.0,181.0,167469.0,224551.0,2300.0,2718.0,31.0,10316200.0,70693.0,145929337.0
Spain,5.0,286308.0,664.0,27125.0,4.0,196958.0,62225.0,617.0,6124.0,580.0,3556567.0,76071.0,46753295.0
UK,6.0,272826.0,1604.0,38376.0,215.0,0.0,0.0,1559.0,4021.0,566.0,4043686.0,59592.0,67855909.0
Italy,7.0,232664.0,416.0,33340.0,111.0,155633.0,43691.0,450.0,3848.0,551.0,3824621.0,63249.0,60469020.0
France,8.0,188625.0,1828.0,28771.0,57.0,68268.0,91586.0,1325.0,2890.0,441.0,1384633.0,21217.0,65261548.0
Germany,9.0,183294.0,275.0,8600.0,6.0,164900.0,9794.0,720.0,2188.0,103.0,3952971.0,47193.0,83761616.0
India,10.0,181827.0,8336.0,5185.0,205.0,86936.0,89706.0,8944.0,132.0,4.0,3611599.0,2619.0,1378826256.0
Turkey,11.0,163103.0,983.0,4515.0,26.0,126984.0,31604.0,649.0,1936.0,54.0,2003594.0,23779.0,84259813.0
Peru,12.0,155671.0,7386.0,4371.0,141.0,66447.0,84853.0,960.0,4727.0,133.0,1012708.0,30752.0,32930962.0
Iran,13.0,148950.0,2282.0,7734.0,57.0,116827.0,24389.0,2533.0,1775.0,92.0,896571.0,10686.0,83897889.0
