Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
Uruguay,217.0,0.0,0.0,0.0,0.0,217.0,3.0,62.0,0.0
Jordan,212.0,40.0,0.0,0.0,1.0,211.0,0.0,21.0,0.0
San Marino,208.0,0.0,21.0,0.0,4.0,183.0,12.0,6130.0,619.0
Kuwait,208.0,13.0,0.0,0.0,49.0,159.0,7.0,49.0,0.0
North Macedonia,201.0,24.0,3.0,0.0,3.0,195.0,1.0,96.0,1.0
Tunisia,200.0,27.0,6.0,1.0,2.0,192.0,10.0,17.0,0.5
Ukraine,196.0,51.0,5.0,0.0,1.0,190.0,0.0,4.0,0.1
Bosnia and Herzegovina,189.0,13.0,3.0,0.0,2.0,184.0,1.0,58.0,0.9
Moldova,177.0,28.0,1.0,0.0,2.0,174.0,28.0,44.0,0.2
Albania,174.0,28.0,6.0,1.0,17.0,151.0,3.0,60.0,2.0
Vietnam,153.0,5.0,0.0,0.0,20.0,133.0,3.0,2.0,0.0
Burkina Faso,152.0,6.0,7.0,3.0,10.0,135.0,0.0,7.0,0.3
Cyprus,146.0,14.0,3.0,0.0,4.0,139.0,3.0,121.0,2.0
Faeroe Islands,140.0,8.0,0.0,0.0,47.0,93.0,0.0,2865.0,0.0
Réunion,135.0,24.0,0.0,0.0,1.0,134.0,0.0,151.0,0.0
Malta,134.0,5.0,0.0,0.0,2.0,132.0,1.0,303.0,0.0
Ghana,132.0,64.0,4.0,0.0,1.0,127.0,0.0,4.0,0.1
Azerbaijan,122.0,29.0,3.0,1.0,15.0,104.0,6.0,12.0,0.3
Brunei ,114.0,5.0,0.0,0.0,5.0,109.0,1.0,261.0,0.0
Kazakhstan,111.0,30.0,1.0,1.0,2.0,108.0,0.0,6.0,0.05
Oman,109.0,10.0,0.0,0.0,23.0,86.0,0.0,21.0,0.0
Sri Lanka,106.0,4.0,0.0,0.0,7.0,99.0,3.0,5.0,0.0
Venezuela,106.0,0.0,0.0,0.0,15.0,91.0,2.0,4.0,0.0
Senegal,105.0,6.0,0.0,0.0,9.0,96.0,0.0,6.0,0.0
Cambodia,96.0,0.0,0.0,0.0,10.0,86.0,1.0,6.0,0.0
Ivory Coast,96.0,16.0,0.0,0.0,3.0,93.0,0.0,4.0,0.0
Afghanistan,94.0,10.0,4.0,2.0,2.0,88.0,0.0,2.0,0.1
Belarus,86.0,0.0,0.0,0.0,29.0,57.0,2.0,9.0,0.0
Palestine,84.0,13.0,1.0,0.0,17.0,66.0,0.0,16.0,0.2
Mauritius,81.0,33.0,2.0,0.0,0.0,79.0,1.0,64.0,2.0
Georgia,79.0,4.0,0.0,0.0,11.0,68.0,1.0,20.0,0.0
Cameroon,75.0,0.0,1.0,0.0,2.0,72.0,0.0,3.0,0.04
Uzbekistan,75.0,15.0,0.0,0.0,0.0,75.0,4.0,2.0,0.0
