Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
North America,0.0,1682074.0,21766.0,102869.0,1207.0,429523.0,1149682.0,17523.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,1780722.0,19370.0,162838.0,1166.0,769682.0,848202.0,11601.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,437649.0,13102.0,23041.0,635.0,148759.0,265849.0,10427.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,798260.0,20180.0,24714.0,412.0,457916.0,315630.0,4975.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,86038.0,2675.0,2771.0,45.0,33362.0,49905.0,288.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8648.0,10.0,119.0,0.0,7900.0,629.0,16.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,4794112.0,77103.0,316367.0,3465.0,1847793.0,2629952.0,44834.0,615.0,40.6,0.0,0.0,0.0
USA,1.0,1525578.0,17805.0,90928.0,815.0,343204.0,1091446.0,16366.0,4612.0,275.0,11768015.0,35578.0,330764077.0
Russia,2.0,281752.0,9709.0,2631.0,94.0,67373.0,211748.0,2300.0,1931.0,18.0,6916088.0,47394.0,145926952.0
Spain,3.0,277719.0,1214.0,27650.0,87.0,195945.0,54124.0,1152.0,5940.0,591.0,3037840.0,64977.0,46752605.0
UK,4.0,243695.0,3534.0,34636.0,170.0,0.0,0.0,1559.0,3592.0,511.0,2580769.0,38041.0,67842296.0
Brazil,5.0,239483.0,6341.0,16062.0,429.0,89672.0,133749.0,8318.0,1128.0,76.0,735224.0,3462.0,212372688.0
Italy,6.0,225435.0,675.0,31908.0,145.0,125176.0,68351.0,762.0,3728.0,528.0,3004960.0,49691.0,60472408.0
France,7.0,179569.0,204.0,28108.0,483.0,61213.0,90248.0,2087.0,2752.0,431.0,1384633.0,21218.0,65256039.0
Germany,8.0,176625.0,381.0,8048.0,21.0,153400.0,15177.0,1166.0,2109.0,96.0,3147771.0,37585.0,83751395.0
Turkey,9.0,149435.0,1368.0,4140.0,44.0,109962.0,35333.0,914.0,1774.0,49.0,1624994.0,19293.0,84225118.0
Iran,10.0,120198.0,1806.0,6988.0,51.0,94464.0,18746.0,2705.0,1433.0,83.0,686935.0,8192.0,83856767.0
India,11.0,95698.0,5050.0,3025.0,154.0,36795.0,55878.0,0.0,69.0,2.0,2227642.0,1616.0,1378307692.0
Peru,12.0,92273.0,3732.0,2648.0,125.0,28621.0,61004.0,850.0,2804.0,80.0,650613.0,19767.0,32913388.0
Canada,13.0,77002.0,1138.0,5782.0,103.0,38550.0,32670.0,502.0,2042.0,153.0,1355665.0,35958.0,37700962.0
Belgium,14.0,55280.0,291.0,9052.0,47.0,14630.0,31598.0,371.0,4772.0,781.0,682980.0,58962.0,11583464.0
Saudi Arabia,15.0,54752.0,2736.0,312.0,10.0,25722.0,28718.0,202.0,1576.0,9.0,586405.0,16878.0,34744365.0
Mexico,16.0,47144.0,2112.0,5045.0,278.0,31848.0,10251.0,378.0,366.0,39.0,163691.0,1271.0,128762855.0
Netherlands,17.0,43995.0,125.0,5680.0,10.0,0.0,0.0,346.0,2568.0,332.0,287943.0,16809.0,17130286.0
Chile,18.0,43781.0,2353.0,450.0,29.0,19213.0,24118.0,769.0,2293.0,24.0,363496.0,19035.0,19095791.0
Pakistan,19.0,40151.0,1352.0,873.0,39.0,11341.0,27937.0,111.0,182.0,4.0,373410.0,1695.0,220333311.0
Ecuador,20.0,33182.0,419.0,2736.0,48.0,3433.0,27013.0,189.0,1884.0,155.0,95047.0,5398.0,17608766.0
Qatar,21.0,32604.0,1632.0,15.0,0.0,4370.0,28219.0,165.0,11341.0,5.0,157570.0,54811.0,2874781.0
Switzerland,22.0,30587.0,15.0,1881.0,2.0,27500.0,1206.0,69.0,3537.0,218.0,343359.0,39709.0,8646793.0
