Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,3423421.0,50747.0,174391.0,927.0,1526118.0,26115.0,1722912.0,19083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,2464196.0,43465.0,92339.0,1474.0,1542561.0,41920.0,829296.0,13472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,2466122.0,11676.0,193427.0,348.0,1424119.0,12815.0,848576.0,5564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,2526709.0,53260.0,61060.0,1157.0,1699778.0,46475.0,765871.0,19376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,454269.0,3611.0,11033.0,113.0,219304.0,1599.0,223932.0,1808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,10004.0,107.0,126.0,0.0,8952.0,36.0,926.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,11345442.0,162866.0,532391.0,4019.0,6421483.0,128960.0,4391568.0,59312.0,1456.0,68.3,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,2931745.0,41157.0,132299.0,235.0,1256161.0,20673.0,1543285.0,15945.0,8857.0,400.0,36878645.0,111410.0,331018157.0,113.0,2502.0,9.0
Brazil,2.0,1577004.0,33663.0,64265.0,1011.0,978615.0,32700.0,534124.0,8318.0,7419.0,302.0,3330562.0,15668.0,212570544.0,135.0,3308.0,64.0
Russia,3.0,674515.0,6632.0,10027.0,168.0,446879.0,8986.0,217609.0,2300.0,4622.0,69.0,20451110.0,140138.0,145935130.0,216.0,14554.0,7.0
India,4.0,673904.0,24015.0,19279.0,610.0,408646.0,14327.0,245979.0,8944.0,488.0,14.0,9540132.0,6913.0,1380085626.0,2048.0,71585.0,145.0
Peru,5.0,299080.0,3481.0,10412.0,186.0,189621.0,3769.0,99047.0,1210.0,9070.0,316.0,1761910.0,53434.0,32973640.0,110.0,3167.0,19.0
Spain,6.0,297625.0,0.0,28385.0,0.0,0.0,0.0,0.0,617.0,6366.0,607.0,5448984.0,116543.0,46754972.0,157.0,1647.0,9.0
Chile,7.0,291847.0,3758.0,6192.0,141.0,257445.0,4102.0,28210.0,2077.0,15266.0,324.0,1163880.0,60881.0,19117287.0,66.0,3087.0,16.0
UK,8.0,284900.0,624.0,44198.0,67.0,0.0,0.0,0.0,231.0,4197.0,651.0,10340511.0,152315.0,67888969.0,238.0,1536.0,7.0
Mexico,9.0,245251.0,6740.0,29843.0,654.0,147205.0,4612.0,68203.0,378.0,1902.0,231.0,624987.0,4847.0,128940399.0,526.0,4321.0,206.0
Italy,10.0,241419.0,235.0,34854.0,21.0,191944.0,477.0,14621.0,71.0,3993.0,576.0,5600826.0,92636.0,60460794.0,250.0,1735.0,11.0
Iran,11.0,237878.0,2449.0,11408.0,148.0,198949.0,2503.0,27521.0,3136.0,2832.0,136.0,1744958.0,20774.0,83997756.0,353.0,7363.0,48.0
Pakistan,12.0,225283.0,3387.0,4619.0,68.0,125094.0,11471.0,95570.0,2460.0,1020.0,21.0,1372825.0,6215.0,220896749.0,981.0,47824.0,161.0
Saudi Arabia,13.0,205929.0,4128.0,1858.0,56.0,143256.0,2642.0,60815.0,2295.0,5915.0,53.0,1823763.0,52384.0,34815518.0,169.0,18738.0,19.0
Turkey,14.0,204610.0,1154.0,5206.0,20.0,179492.0,1214.0,19912.0,1093.0,2426.0,62.0,3584066.0,42493.0,84344072.0,412.0,16201.0,24.0
Germany,15.0,197250.0,250.0,9074.0,1.0,181300.0,300.0,6876.0,318.0,2354.0,108.0,5873563.0,70102.0,83786438.0,425.0,9234.0,14.0
South Africa,16.0,177124.0,0.0,2952.0,0.0,86298.0,0.0,87874.0,539.0,2986.0,50.0,1745153.0,29423.0,59312107.0,335.0,20092.0,34.0
France,17.0,166960.0,0.0,29893.0,0.0,77060.0,0.0,60007.0,560.0,2558.0,458.0,1384633.0,21212.0,65274927.0,391.0,2184.0,47.0
Bangladesh,18.0,159679.0,3288.0,1997.0,29.0,70721.0,2673.0,86961.0,1.0,970.0,12.0,835074.0,5070.0,164699098.0,1031.0,82473.0,197.0
Colombia,19.0,109505.0,0.0,3777.0,0.0,45334.0,0.0,60394.0,841.0,2152.0,74.0,818703.0,16089.0,50885910.0,465.0,13473.0,62.0
Canada,20.0,105211.0,120.0,8668.0,5.0,68868.0,175.0,27675.0,2118.0,2787.0,230.0,2885746.0,76455.0,37744314.0,359.0,4354.0,13.0
Qatar,21.0,99183.0,530.0,123.0,2.0,90387.0,1804.0,8673.0,176.0,35324.0,44.0,376881.0,134226.0,2807805.0,28.0,22828.0,7.0
Egypt,22.0,74035.0,1324.0,3280.0,79.0,20103.0,413.0,50652.0,41.0,723.0,32.0,135000.0,1319.0,102336953.0,1382.0,31200.0,758.0
Argentina,23.0,72786.0,0.0,1453.0,16.0,25930.0,706.0,45403.0,620.0,1610.0,32.0,390382.0,8637.0,45198395.0,621.0,31107.0,116.0
Sweden,24.0,71419.0,0.0,5420.0,0.0,0.0,0.0,0.0,124.0,7071.0,537.0,519113.0,51399.0,10099756.0,141.0,1863.0,19.0
Belarus,25.0,63270.0,273.0,418.0,6.0,50669.0,760.0,12183.0,89.0,6696.0,44.0,1059299.0,112104.0,9449289.0,149.0,22606.0,9.0
Indonesia,26.0,62142.0,1447.0,3089.0,53.0,28219.0,651.0,30834.0,0.0,227.0,11.0,894428.0,3270.0,273539841.0,4402.0,88553.0,306.0
Belgium,27.0,61838.0,111.0,9771.0,6.0,17091.0,18.0,34976.0,32.0,5335.0,843.0,1284605.0,110837.0,11590064.0,187.0,1186.0,9.0
Ecuador,28.0,61535.0,878.0,4769.0,69.0,28507.0,116.0,28259.0,288.0,3488.0,270.0,162372.0,9203.0,17643922.0,287.0,3700.0,109.0
Iraq,29.0,58354.0,2334.0,2368.0,106.0,31077.0,1477.0,24909.0,333.0,1451.0,59.0,589377.0,14653.0,40221975.0,689.0,16986.0,68.0
UAE,30.0,50857.0,716.0,321.0,3.0,39857.0,704.0,10679.0,1.0,5142.0,32.0,3500000.0,353858.0,9890980.0,194.0,30813.0,3.0
Netherlands,31.0,50335.0,0.0,6113.0,0.0,0.0,0.0,0.0,28.0,2938.0,357.0,616376.0,35971.0,17135244.0,340.0,2803.0,28.0
Kuwait,32.0,49303.0,631.0,365.0,5.0,39943.0,667.0,8995.0,158.0,11544.0,85.0,402941.0,94348.0,4270789.0,87.0,11701.0,11.0
Ukraine,33.0,47677.0,914.0,1227.0,15.0,21115.0,557.0,25335.0,102.0,1090.0,28.0,705836.0,16141.0,43730137.0,917.0,35640.0,62.0
Kazakhstan,34.0,45719.0,1644.0,188.0,0.0,26750.0,499.0,18781.0,121.0,2435.0,10.0,1590144.0,84682.0,18777808.0,411.0,99882.0,12.0
Oman,35.0,45106.0,1177.0,203.0,10.0,26968.0,799.0,17935.0,116.0,8833.0,40.0,202837.0,39723.0,5106343.0,113.0,25154.0,25.0
Singapore,36.0,44664.0,185.0,26.0,0.0,40117.0,348.0,4521.0,2.0,7634.0,4.0,757746.0,129515.0,5850663.0,131.0,225026.0,8.0
Portugal,37.0,43569.0,413.0,1605.0,7.0,28772.0,348.0,13192.0,73.0,4273.0,157.0,1205593.0,118238.0,10196343.0,234.0,6353.0,8.0
Philippines,38.0,41830.0,1494.0,1290.0,10.0,11453.0,380.0,29087.0,166.0,382.0,12.0,798476.0,7286.0,109587217.0,2620.0,84951.0,137.0
