Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Asia,0.0,15161737.0,80677.0,267725.0,1471.0,13537821.0,73786.0,1356191.0,24790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,13581863.0,175221.0,378199.0,1164.0,8555863.0,96041.0,4647801.0,25156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,10390117.0,32115.0,310864.0,861.0,9392434.0,53664.0,686819.0,17399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,14212738.0,210184.0,326904.0,3756.0,5284444.0,102491.0,8601390.0,29791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1998312.0,10580.0,47775.0,337.0,1680971.0,12916.0,269566.0,2573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,42558.0,437.0,997.0,3.0,32911.0,8.0,8650.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,659.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,55388046.0,509214.0,1332479.0,7592.0,38485103.0,338906.0,15570464.0,99739.0,7106.0,170.9,0.0,0.0,0.0,0.0,0.0,0.0
China,1.0,86346.0,8.0,4634.0,0.0,81338.0,19.0,374.0,3.0,60.0,3.0,160000000.0,111163.0,1439323776.0,16669.0,310601.0,9.0
USA,2.0,11538450.0,162516.0,252679.0,767.0,7019364.0,82042.0,4266407.0,21184.0,34782.0,762.0,170154811.0,512919.0,331738050.0,29.0,1313.0,2.0
India,3.0,8874172.0,28555.0,130559.0,450.0,8288169.0,40219.0,455444.0,8944.0,6407.0,94.0,125698525.0,90749.0,1385123108.0,156.0,10609.0,11.0
Brazil,4.0,5876740.0,13647.0,166067.0,256.0,5322406.0,30895.0,388267.0,8318.0,27573.0,779.0,21900000.0,102754.0,213131136.0,36.0,1283.0,10.0
France,5.0,2022231.0,11343.0,45648.0,704.0,140880.0,1070.0,1835703.0,4919.0,30955.0,699.0,19191764.0,293773.0,65328442.0,32.0,1431.0,3.0
Russia,6.0,1948603.0,22778.0,33489.0,303.0,1453849.0,13864.0,461265.0,2300.0,13350.0,229.0,69111898.0,473504.0,145958304.0,75.0,4358.0,2.0
Spain,7.0,1521899.0,12758.0,41253.0,162.0,0.0,0.0,0.0,3156.0,32546.0,882.0,20742051.0,443569.0,46761678.0,31.0,1134.0,2.0
UK,8.0,1390681.0,21363.0,52147.0,213.0,0.0,0.0,0.0,1355.0,20445.0,767.0,38932715.0,572361.0,68021208.0,49.0,1304.0,2.0
Argentina,9.0,1318384.0,7893.0,35727.0,291.0,1140196.0,11094.0,142461.0,4322.0,29070.0,788.0,3474091.0,76602.0,45352351.0,34.0,1269.0,13.0
Italy,10.0,1205881.0,27354.0,45733.0,504.0,442364.0,21554.0,717784.0,3492.0,19956.0,757.0,19031049.0,314938.0,60427888.0,50.0,1321.0,3.0
Colombia,11.0,1205217.0,6471.0,34223.0,192.0,1111867.0,6911.0,59127.0,2376.0,23591.0,670.0,5766981.0,112885.0,51087318.0,42.0,1493.0,9.0
Mexico,12.0,1006522.0,3269.0,98542.0,283.0,750190.0,4829.0,157790.0,2941.0,7776.0,761.0,2610548.0,20167.0,129443441.0,129.0,1314.0,50.0
Peru,13.0,938268.0,1257.0,35271.0,40.0,865348.0,2228.0,37649.0,994.0,28309.0,1064.0,4815828.0,145299.0,33144354.0,35.0,940.0,7.0
Germany,14.0,817526.0,14582.0,12891.0,199.0,515200.0,12800.0,289435.0,3436.0,9746.0,154.0,25010416.0,298149.0,83885726.0,103.0,6507.0,3.0
Iran,15.0,775121.0,13053.0,41979.0,486.0,564699.0,5881.0,168443.0,5677.0,9184.0,497.0,5545444.0,65706.0,84397224.0,109.0,2010.0,15.0
