Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Israel,40.0,17169.0,98.0,285.0,0.0,14878.0,2006.0,33.0,1867.0,31.0,568452.0,61804.0,9197590.0
Japan,41.0,16851.0,0.0,891.0,0.0,14459.0,1501.0,119.0,133.0,7.0,290436.0,2296.0,126506424.0
Argentina,42.0,16851.0,0.0,541.0,2.0,5521.0,10789.0,274.0,373.0,12.0,164084.0,3633.0,45161038.0
Austria,43.0,16733.0,2.0,668.0,0.0,15596.0,469.0,29.0,1859.0,74.0,451820.0,50190.0,9002188.0
Afghanistan,44.0,15750.0,545.0,265.0,8.0,1428.0,14057.0,19.0,405.0,7.0,39628.0,1020.0,38848565.0
Panama,45.0,13463.0,0.0,336.0,0.0,9514.0,3613.0,79.0,3125.0,78.0,67730.0,15719.0,4308839.0
Oman,46.0,12223.0,786.0,50.0,1.0,2682.0,9491.0,31.0,2399.0,10.0,100181.0,19664.0,5094596.0
Bahrain,47.0,11871.0,473.0,19.0,0.0,7070.0,4782.0,11.0,7000.0,11.0,322054.0,189915.0,1695780.0
Denmark,48.0,11699.0,30.0,576.0,2.0,10412.0,711.0,20.0,2020.0,99.0,637738.0,110134.0,5790554.0
S. Korea,49.0,11503.0,35.0,271.0,1.0,10422.0,810.0,15.0,224.0,5.0,921391.0,17973.0,51265682.0
Serbia,50.0,11430.0,18.0,244.0,1.0,6726.0,4460.0,9.0,1308.0,28.0,247760.0,28348.0,8740077.0
Kazakhstan,51.0,11308.0,450.0,41.0,1.0,5587.0,5680.0,62.0,603.0,2.0,828377.0,44162.0,18757562.0
Nigeria,52.0,10162.0,0.0,287.0,0.0,3007.0,6868.0,7.0,49.0,1.0,60825.0,296.0,205668183.0
Bolivia,53.0,9982.0,390.0,313.0,3.0,968.0,8701.0,3.0,856.0,27.0,28239.0,2422.0,11659305.0
Algeria,54.0,9513.0,119.0,661.0,8.0,5894.0,2958.0,23.0,217.0,15.0,0.0,0.0,43780936.0
Armenia,55.0,9492.0,210.0,139.0,8.0,3402.0,5951.0,10.0,3204.0,47.0,58668.0,19802.0,2962800.0
Czechia,56.0,9286.0,18.0,321.0,1.0,6642.0,2323.0,15.0,867.0,30.0,442866.0,41361.0,10707393.0
Norway,57.0,8442.0,2.0,236.0,0.0,7727.0,479.0,8.0,1558.0,44.0,245352.0,45287.0,5417721.0
Moldova,58.0,8360.0,109.0,305.0,10.0,4622.0,3433.0,251.0,2072.0,76.0,55582.0,13776.0,4034692.0
Ghana,59.0,8070.0,189.0,36.0,0.0,2947.0,5087.0,3.0,260.0,1.0,218425.0,7043.0,31014508.0
Malaysia,60.0,7857.0,38.0,115.0,0.0,6404.0,1338.0,8.0,243.0,4.0,560738.0,17344.0,32330462.0
Morocco,61.0,7833.0,26.0,205.0,0.0,5893.0,1735.0,18.0,212.0,6.0,221554.0,6009.0,36873293.0
Australia,62.0,7204.0,9.0,103.0,0.0,6619.0,482.0,3.0,283.0,4.0,1472220.0,57791.0,25474721.0
Finland,63.0,6885.0,26.0,318.0,0.0,5500.0,1067.0,9.0,1243.0,57.0,185484.0,33481.0,5540033.0
Iraq,64.0,6868.0,429.0,215.0,10.0,3275.0,3378.0,43.0,171.0,5.0,238251.0,5935.0,40140397.0
Cameroon,65.0,6397.0,493.0,199.0,8.0,3629.0,2569.0,28.0,242.0,8.0,0.0,0.0,26484855.0
Azerbaijan,66.0,5662.0,168.0,68.0,5.0,3508.0,2086.0,42.0,559.0,7.0,302933.0,29900.0,10131531.0
Honduras,67.0,5202.0,108.0,212.0,11.0,537.0,4453.0,13.0,526.0,21.0,14790.0,1495.0,9890844.0
Guatemala,68.0,5087.0,348.0,108.0,6.0,735.0,4244.0,5.0,284.0,6.0,31427.0,1757.0,17886146.0
Sudan,69.0,5026.0,0.0,286.0,0.0,1423.0,3317.0,0.0,115.0,7.0,401.0,9.0,43755620.0
Luxembourg,70.0,4019.0,1.0,110.0,0.0,3845.0,64.0,4.0,6430.0,176.0,75594.0,120934.0,625086.0
