Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
North America,0.0,1821717.0,26517.0,111507.0,1712.0,497647.0,1212563.0,18345.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,1868113.0,19791.0,168419.0,1614.0,849067.0,850627.0,10477.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,564769.0,16145.0,28810.0,732.0,209097.0,326862.0,10700.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,911947.0,24690.0,26655.0,411.0,531629.0,353663.0,4869.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,105432.0,3748.0,3193.0,78.0,42724.0,59515.0,290.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8703.0,15.0,122.0,1.0,8035.0,546.0,8.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,5281402.0,90906.0,338721.0,4548.0,2138850.0,2803831.0,44693.0,678.0,43.5,0.0,0.0,0.0
USA,1.0,1642477.0,21575.0,97533.0,1179.0,395947.0,1148997.0,17207.0,4965.0,295.0,13812525.0,41756.0,330790544.0
Russia,2.0,326448.0,8894.0,3249.0,150.0,99825.0,223374.0,2300.0,2237.0,22.0,8126626.0,55689.0,145927804.0
Brazil,3.0,319069.0,8148.0,20541.0,459.0,125960.0,172568.0,8318.0,1502.0,97.0,735224.0,3462.0,212393298.0
Spain,4.0,281904.0,1787.0,28628.0,688.0,196958.0,56318.0,1152.0,6030.0,612.0,3037840.0,64977.0,46752851.0
UK,5.0,254195.0,3287.0,36393.0,351.0,0.0,0.0,1559.0,3747.0,536.0,3231921.0,47635.0,67847158.0
Italy,6.0,228658.0,652.0,32616.0,130.0,136720.0,59322.0,595.0,3781.0,539.0,3318778.0,54882.0,60471198.0
France,7.0,182219.0,393.0,28289.0,74.0,64209.0,89721.0,1701.0,2792.0,433.0,1384633.0,21218.0,65258007.0
Germany,8.0,179713.0,692.0,8352.0,43.0,159000.0,12361.0,965.0,2146.0,100.0,3595059.0,42923.0,83755045.0
Turkey,9.0,154500.0,952.0,4276.0,27.0,116111.0,34113.0,800.0,1834.0,51.0,1767495.0,20982.0,84237509.0
Iran,10.0,131652.0,2311.0,7300.0,51.0,102276.0,22076.0,2659.0,1570.0,87.0,763913.0,9108.0,83871454.0
India,11.0,124794.0,6568.0,3726.0,142.0,51824.0,69244.0,0.0,91.0,3.0,2719434.0,1973.0,1378492893.0
Peru,12.0,111698.0,2929.0,3244.0,96.0,44848.0,63606.0,886.0,3393.0,99.0,750526.0,22799.0,32919665.0
Canada,13.0,82420.0,1096.0,6245.0,93.0,42481.0,33694.0,502.0,2186.0,166.0,1379731.0,36592.0,37705478.0
Saudi Arabia,14.0,67719.0,2642.0,364.0,13.0,39003.0,28352.0,302.0,1949.0,10.0,667057.0,19195.0,34751777.0
Chile,15.0,61857.0,4276.0,630.0,41.0,25342.0,35885.0,986.0,3239.0,33.0,442093.0,23149.0,19098031.0
Mexico,16.0,59567.0,2973.0,6510.0,420.0,40657.0,12400.0,378.0,463.0,51.0,201838.0,1567.0,128781349.0
Belgium,17.0,56511.0,276.0,9212.0,26.0,15123.0,32176.0,268.0,4878.0,795.0,757328.0,65376.0,11584152.0
Pakistan,18.0,50694.0,2603.0,1067.0,50.0,15201.0,34426.0,111.0,230.0,5.0,445987.0,2024.0,220392002.0
Netherlands,19.0,44888.0,188.0,5788.0,13.0,0.0,0.0,252.0,2620.0,338.0,313755.0,18315.0,17130802.0
