Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Asia,0.0,1080434.0,29168.0,29666.0,546.0,651407.0,399361.0,13676.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,2011976.0,30789.0,121962.0,1788.0,646722.0,1243292.0,19452.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,800054.0,42566.0,38178.0,1445.0,327855.0,434021.0,11226.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,1986869.0,16970.0,172531.0,963.0,963148.0,851190.0,9017.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,137544.0,5957.0,3945.0,131.0,58197.0,75402.0,356.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8782.0,23.0,125.0,0.0,8164.0,493.0,4.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,6026380.0,125473.0,366422.0,4873.0,2656144.0,3003814.0,53735.0,773.0,47.0,0.0,0.0,0.0
China,1.0,82995.0,0.0,4634.0,0.0,78291.0,70.0,4.0,58.0,3.0,0.0,0.0,1439323776.0
USA,2.0,1793530.0,25069.0,104542.0,1212.0,519569.0,1169419.0,17204.0,5421.0,316.0,16810778.0,50814.0,330832890.0
Brazil,3.0,468338.0,29526.0,27944.0,1180.0,193181.0,247213.0,8318.0,2205.0,132.0,930013.0,4378.0,212426274.0
Russia,4.0,387623.0,8572.0,4374.0,232.0,159257.0,223992.0,2300.0,2656.0,30.0,10000061.0,68527.0,145929167.0
Spain,5.0,285644.0,658.0,27121.0,2.0,196958.0,61565.0,617.0,6110.0,580.0,3556567.0,76071.0,46753246.0
UK,6.0,271222.0,2095.0,38161.0,324.0,0.0,0.0,1559.0,3997.0,562.0,4043686.0,59593.0,67854937.0
Italy,7.0,232248.0,516.0,33229.0,87.0,152844.0,46175.0,475.0,3841.0,550.0,3755279.0,62102.0,60469262.0
France,8.0,186797.0,559.0,28714.0,52.0,67803.0,90280.0,1361.0,2862.0,440.0,1384633.0,21217.0,65261155.0
Germany,9.0,183019.0,567.0,8594.0,24.0,164100.0,10325.0,729.0,2185.0,103.0,3952971.0,47194.0,83760886.0
India,10.0,173491.0,8105.0,4980.0,269.0,82627.0,85884.0,8944.0,126.0,4.0,3483838.0,2527.0,1378789216.0
Turkey,11.0,162120.0,1141.0,4489.0,28.0,125963.0,31668.0,662.0,1924.0,53.0,1964364.0,23314.0,84257335.0
Peru,12.0,148285.0,6506.0,4230.0,131.0,62791.0,81264.0,926.0,4503.0,128.0,963617.0,29263.0,32929707.0
Iran,13.0,146668.0,2819.0,7677.0,50.0,114931.0,24060.0,2547.0,1748.0,92.0,896571.0,10687.0,83894952.0
Chile,14.0,90638.0,3695.0,944.0,54.0,38598.0,51096.0,1350.0,4745.0,49.0,546506.0,28610.0,19101613.0
Canada,15.0,89418.0,906.0,6979.0,102.0,47518.0,34921.0,1618.0,2371.0,185.0,1596449.0,42332.0,37712703.0
