Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Austria,40.0,16404.0,51.0,633.0,0.0,14951.0,820.0,32.0,1823.0,70.0,385637.0,42845.0,9000787.0
Egypt,41.0,15003.0,774.0,696.0,16.0,4217.0,10090.0,41.0,147.0,7.0,135000.0,1322.0,102109848.0
Dominican Republic,42.0,13657.0,180.0,448.0,2.0,7366.0,5843.0,113.0,1260.0,41.0,61330.0,5660.0,10835780.0
Philippines,43.0,13434.0,213.0,846.0,4.0,3000.0,9588.0,81.0,123.0,8.0,267417.0,2444.0,109415846.0
Denmark,44.0,11182.0,65.0,561.0,7.0,9643.0,978.0,23.0,1931.0,97.0,504266.0,87093.0,5789998.0
S. Korea,45.0,11122.0,12.0,264.0,1.0,10135.0,723.0,15.0,217.0,5.0,788684.0,15385.0,51264480.0
Serbia,46.0,10919.0,86.0,237.0,2.0,5370.0,5312.0,12.0,1249.0,27.0,203799.0,23315.0,8741034.0
Panama,47.0,10116.0,139.0,291.0,4.0,6245.0,3580.0,72.0,2349.0,68.0,53928.0,12521.0,4306982.0
Argentina,48.0,9931.0,648.0,416.0,13.0,3032.0,6483.0,171.0,220.0,9.0,116689.0,2584.0,45149718.0
Czechia,49.0,8754.0,33.0,306.0,2.0,5926.0,2522.0,36.0,818.0,29.0,379750.0,35468.0,10706852.0
Afghanistan,50.0,8676.0,531.0,193.0,6.0,938.0,7545.0,19.0,223.0,5.0,26707.0,688.0,38824552.0
Norway,51.0,8309.0,28.0,235.0,1.0,32.0,8042.0,14.0,1534.0,43.0,223045.0,41178.0,5416564.0
Bahrain,52.0,8174.0,286.0,12.0,0.0,3873.0,4289.0,9.0,4825.0,7.0,262107.0,154713.0,1694155.0
Algeria,53.0,7728.0,186.0,575.0,7.0,4062.0,3091.0,22.0,177.0,13.0,0.0,0.0,43759272.0
Kazakhstan,54.0,7234.0,265.0,35.0,0.0,3843.0,3356.0,31.0,386.0,2.0,591502.0,31544.0,18751427.0
Morocco,55.0,7211.0,78.0,196.0,2.0,4280.0,2735.0,1.0,196.0,5.0,112997.0,3065.0,36861343.0
Australia,56.0,7081.0,2.0,100.0,0.0,6472.0,509.0,9.0,278.0,4.0,1137684.0,44674.0,25466640.0
Malaysia,57.0,7059.0,50.0,114.0,0.0,5796.0,1149.0,10.0,218.0,4.0,481411.0,14896.0,32319132.0
Nigeria,58.0,7016.0,339.0,211.0,11.0,1907.0,4898.0,7.0,34.0,1.0,40043.0,195.0,205528166.0
Moldova,59.0,6704.0,151.0,233.0,5.0,2953.0,3518.0,251.0,1661.0,58.0,40565.0,10053.0,4034947.0
