Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
 China ,80881.0,21.0,3226.0,13.0,68688.0,8967.0,3226.0,56.2
 Italy ,27980.0,3233.0,2158.0,349.0,2749.0,23073.0,1851.0,0.0
 Iran ,14991.0,1053.0,853.0,129.0,4996.0,9142.0,0.0,178.5
 Spain ,9942.0,1954.0,342.0,48.0,530.0,9070.0,272.0,212.6
 S. Korea ,8320.0,158.0,81.0,6.0,1401.0,6838.0,59.0,162.3
 Germany ,7272.0,1459.0,17.0,4.0,67.0,7188.0,2.0,86.8
 France ,6633.0,1210.0,148.0,21.0,12.0,6473.0,400.0,101.6
 USA ,4667.0,987.0,87.0,19.0,74.0,4506.0,12.0,14.1
 Switzerland ,2353.0,136.0,19.0,5.0,4.0,2330.0,0.0,271.9
 UK ,1543.0,152.0,55.0,20.0,52.0,1436.0,20.0,22.7
 Netherlands ,1413.0,278.0,24.0,4.0,2.0,1387.0,45.0,82.5
 Norway ,1348.0,92.0,3.0,0.0,1.0,1344.0,27.0,248.7
 Sweden ,1121.0,81.0,7.0,4.0,1.0,1113.0,2.0,111.0
 Belgium ,1058.0,172.0,10.0,6.0,1.0,1047.0,33.0,91.3
 Austria ,1018.0,158.0,3.0,2.0,8.0,1007.0,12.0,113.0
 Denmark ,914.0,50.0,4.0,2.0,1.0,909.0,10.0,157.8
 Japan ,833.0,0.0,27.0,3.0,144.0,662.0,41.0,6.6
 Diamond Princess ,696.0,0.0,7.0,0.0,456.0,233.0,15.0,0.0
 Malaysia ,566.0,138.0,0.0,0.0,42.0,524.0,9.0,17.5
 Canada ,441.0,100.0,4.0,3.0,11.0,426.0,1.0,11.7
 Qatar ,439.0,38.0,0.0,0.0,4.0,435.0,0.0,152.4
 Australia ,401.0,101.0,5.0,0.0,27.0,369.0,1.0,15.7
 Greece ,352.0,21.0,4.0,0.0,8.0,340.0,5.0,33.8
 Czechia ,344.0,51.0,0.0,0.0,3.0,341.0,2.0,32.1
 Portugal ,331.0,86.0,1.0,1.0,3.0,327.0,18.0,32.5
 Israel ,298.0,85.0,0.0,0.0,4.0,294.0,4.0,34.4
 Finland ,278.0,34.0,0.0,0.0,10.0,268.0,1.0,50.2
