Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
North America,0.0,1923659.0,21441.0,116055.0,1029.0,592598.0,1215006.0,18251.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,661701.0,5486.0,32798.0,160.0,265322.0,363581.0,10959.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,1934056.0,18099.0,169601.0,1086.0,912543.0,851912.0,9711.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,1002918.0,20509.0,28220.0,419.0,589039.0,385659.0,13771.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,120726.0,2925.0,3591.0,96.0,49529.0,67606.0,334.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8741.0,15.0,123.0,0.0,8115.0,503.0,6.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,5652522.0,68475.0,350403.0,2790.0,2417797.0,2884322.0,53036.0,725.0,45.0,0.0,0.0,0.0
USA,1.0,1722844.0,16618.0,100468.0,663.0,477187.0,1145189.0,17109.0,5208.0,304.0,15488613.0,46820.0,330811717.0
Brazil,2.0,377780.0,1111.0,23622.0,100.0,153833.0,200325.0,8318.0,1779.0,111.0,735224.0,3461.0,212409786.0
Russia,3.0,362342.0,8915.0,3807.0,174.0,131129.0,227406.0,2300.0,2483.0,26.0,9160590.0,62775.0,145928485.0
Spain,4.0,283339.0,859.0,27117.0,280.0,196958.0,59264.0,854.0,6060.0,580.0,3556567.0,76071.0,46753049.0
UK,5.0,265227.0,4043.0,37048.0,134.0,0.0,0.0,1559.0,3909.0,546.0,3681295.0,54256.0,67851047.0
Italy,6.0,230555.0,397.0,32955.0,78.0,144658.0,52942.0,521.0,3813.0,545.0,3539927.0,58540.0,60470230.0
France,7.0,182722.0,0.0,28530.0,98.0,65879.0,88313.0,1555.0,2800.0,437.0,1384633.0,21217.0,65259581.0
Germany,8.0,181288.0,499.0,8498.0,70.0,162000.0,10790.0,821.0,2164.0,101.0,3595059.0,42922.0,83757965.0
