Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Asia,0.0,863458.0,22336.0,25853.0,353.0,500597.0,337008.0,5011.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,1762801.0,26705.0,107817.0,1875.0,465993.0,1188991.0,18978.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,1830667.0,15229.0,165798.0,1224.0,812487.0,852382.0,10927.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,520088.0,32431.0,26625.0,1147.0,193731.0,299732.0,10583.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,96990.0,3762.0,3010.0,86.0,39428.0,54552.0,287.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8686.0,11.0,121.0,0.0,7992.0,573.0,10.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,5083411.0,100474.0,329239.0,4685.0,2020879.0,2733293.0,45800.0,652.0,42.2,0.0,0.0,0.0
China,1.0,82965.0,5.0,4634.0,0.0,78244.0,87.0,9.0,58.0,3.0,0.0,0.0,1439323776.0
USA,2.0,1592723.0,22140.0,94936.0,1403.0,370076.0,1127711.0,17815.0,4815.0,287.0,12968574.0,39205.0,330785250.0
Russia,3.0,308705.0,8764.0,2972.0,135.0,85392.0,220341.0,2300.0,2115.0,20.0,7578029.0,51930.0,145927633.0
Brazil,4.0,293357.0,21472.0,18894.0,911.0,116683.0,157780.0,8318.0,1381.0,89.0,735224.0,3462.0,212389176.0
Spain,5.0,279524.0,721.0,27888.0,110.0,196958.0,54678.0,1152.0,5979.0,596.0,3037840.0,64977.0,46752802.0
UK,6.0,248293.0,0.0,35704.0,363.0,0.0,0.0,1559.0,3660.0,526.0,2962227.0,43661.0,67846185.0
Italy,7.0,227364.0,665.0,32330.0,161.0,132282.0,62752.0,676.0,3760.0,535.0,3171719.0,52450.0,60471440.0
France,8.0,181575.0,766.0,28132.0,110.0,63354.0,90089.0,1794.0,2782.0,431.0,1384633.0,21218.0,65257613.0
Germany,9.0,178531.0,704.0,8270.0,77.0,156900.0,13361.0,1045.0,2132.0,99.0,3595059.0,42924.0,83754315.0
Turkey,10.0,152587.0,972.0,4222.0,23.0,113987.0,34378.0,877.0,1811.0,50.0,1696355.0,20138.0,84235031.0
Iran,11.0,126949.0,2346.0,7183.0,64.0,98808.0,20958.0,2735.0,1514.0,86.0,731213.0,8719.0,83868516.0
India,12.0,112028.0,5553.0,3434.0,132.0,45422.0,63172.0,0.0,81.0,2.0,2512388.0,1823.0,1378455853.0
Peru,13.0,104020.0,4537.0,3024.0,110.0,41968.0,59028.0,869.0,3160.0,92.0,715423.0,21733.0,32918409.0
Canada,14.0,80142.0,1030.0,6031.0,119.0,40776.0,33335.0,502.0,2126.0,160.0,1375126.0,36471.0,37704575.0
