Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
China,81171.0,78.0,3277.0,7.0,73159.0,4735.0,1573.0,56.0,2.0
Italy,63927.0,0.0,6077.0,0.0,7432.0,50418.0,3204.0,1057.0,101.0
USA,48778.0,5044.0,588.0,35.0,295.0,47895.0,1175.0,147.0,2.0
Spain,39676.0,4540.0,2800.0,489.0,3794.0,33082.0,2355.0,849.0,60.0
Germany,31370.0,2314.0,133.0,10.0,749.0,30488.0,23.0,374.0,2.0
Iran,24811.0,1762.0,1934.0,122.0,8913.0,13964.0,0.0,295.0,23.0
France,19856.0,0.0,860.0,0.0,2200.0,16796.0,2082.0,304.0,13.0
Switzerland,9117.0,322.0,122.0,2.0,131.0,8864.0,141.0,1053.0,14.0
S. Korea,9037.0,76.0,120.0,9.0,3507.0,5410.0,59.0,176.0,2.0
UK,8077.0,1427.0,422.0,87.0,135.0,7520.0,20.0,119.0,6.0
Netherlands,5560.0,811.0,276.0,63.0,2.0,5282.0,435.0,324.0,16.0
Austria,5010.0,536.0,28.0,7.0,9.0,4973.0,22.0,556.0,3.0
Belgium,4269.0,526.0,122.0,34.0,461.0,3686.0,381.0,368.0,11.0
Norway,2766.0,141.0,12.0,2.0,6.0,2748.0,44.0,510.0,2.0
Portugal,2362.0,302.0,30.0,7.0,22.0,2310.0,48.0,232.0,3.0
Sweden,2286.0,240.0,36.0,9.0,16.0,2234.0,136.0,226.0,4.0
Canada,2177.0,86.0,24.0,0.0,112.0,2041.0,1.0,58.0,0.6
Australia,2144.0,257.0,8.0,1.0,118.0,2018.0,11.0,84.0,0.3
Brazil,1980.0,56.0,34.0,0.0,2.0,1944.0,18.0,9.0,0.2
Israel,1656.0,214.0,2.0,1.0,49.0,1605.0,31.0,191.0,0.2
Malaysia,1624.0,106.0,15.0,1.0,183.0,1426.0,64.0,50.0,0.5
Denmark,1577.0,117.0,32.0,8.0,1.0,1544.0,69.0,272.0,6.0
Turkey,1529.0,0.0,37.0,0.0,0.0,1492.0,0.0,18.0,0.4
Czechia,1289.0,53.0,2.0,1.0,8.0,1279.0,19.0,120.0,0.2
Japan,1140.0,12.0,42.0,0.0,285.0,813.0,54.0,9.0,0.3
Ireland,1125.0,0.0,6.0,0.0,5.0,1114.0,29.0,228.0,1.0
Ecuador,1049.0,68.0,27.0,9.0,3.0,1019.0,2.0,59.0,2.0
Pakistan,958.0,83.0,7.0,1.0,13.0,938.0,0.0,4.0,0.03
Chile,922.0,176.0,2.0,0.0,17.0,903.0,7.0,48.0,0.1
Luxembourg,875.0,0.0,8.0,0.0,6.0,861.0,3.0,1398.0,13.0
Thailand,827.0,106.0,4.0,3.0,52.0,771.0,7.0,12.0,0.06
Poland,799.0,50.0,9.0,1.0,1.0,789.0,3.0,21.0,0.2
Finland,792.0,92.0,1.0,0.0,10.0,781.0,11.0,143.0,0.2
Saudi Arabia,767.0,205.0,1.0,1.0,28.0,738.0,0.0,22.0,0.03
Romania,762.0,186.0,8.0,1.0,79.0,675.0,15.0,40.0,0.4
Diamond Princess,712.0,0.0,10.0,2.0,587.0,115.0,15.0,0.0,0.0
Greece,695.0,0.0,19.0,2.0,29.0,647.0,35.0,67.0,2.0
Indonesia,686.0,107.0,55.0,6.0,30.0,601.0,0.0,3.0,0.2
Iceland,648.0,60.0,2.0,1.0,51.0,595.0,13.0,1899.0,6.0
Singapore,558.0,49.0,2.0,0.0,156.0,400.0,14.0,95.0,0.3
South Africa,554.0,152.0,0.0,0.0,4.0,550.0,2.0,9.0,0.0
Philippines,552.0,90.0,35.0,2.0,20.0,497.0,1.0,5.0,0.3
India,519.0,20.0,10.0,0.0,40.0,469.0,0.0,0.4,0.01
Qatar,501.0,0.0,0.0,0.0,37.0,464.0,6.0,174.0,0.0
Russia,495.0,57.0,1.0,0.0,22.0,472.0,8.0,3.0,0.01
