Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,9306910.0,47003.0,321769.0,1275.0,6081459.0,40896.0,2903682.0,17869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,11406431.0,116766.0,206560.0,1714.0,9698902.0,109693.0,1500969.0,20751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,8429331.0,32848.0,264925.0,748.0,7285905.0,2269.0,878501.0,17974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,5612946.0,89583.0,227638.0,902.0,2945481.0,23678.0,2439827.0,9762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1544717.0,10223.0,37145.0,260.0,1281565.0,6479.0,226007.0,1569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,31872.0,11.0,940.0,2.0,29087.0,29.0,1845.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,36332928.0,296434.0,1058992.0,4901.0,27323050.0,183044.0,7950886.0,67944.0,4661.0,135.9,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,7762482.0,36753.0,216567.0,715.0,4969405.0,33860.0,2576510.0,14517.0,23415.0,653.0,114013173.0,343909.0,331521024.0,43.0,1531.0,3.0
India,2.0,6832988.0,78809.0,105554.0,963.0,5824462.0,83209.0,902972.0,8944.0,4939.0,76.0,82271654.0,59462.0,1383604455.0,202.0,13108.0,17.0
Brazil,3.0,5000694.0,29741.0,148228.0,657.0,4352871.0,0.0,499595.0,8318.0,23482.0,696.0,17900000.0,84053.0,212962134.0,43.0,1437.0,12.0
Russia,4.0,1248619.0,11115.0,21865.0,202.0,995275.0,6699.0,231479.0,2300.0,8555.0,150.0,48700000.0,333673.0,145951318.0,117.0,6675.0,3.0
Spain,5.0,872276.0,6645.0,32562.0,76.0,0.0,0.0,0.0,1568.0,18654.0,696.0,13689776.0,292769.0,46759656.0,54.0,1436.0,3.0
Colombia,6.0,869808.0,0.0,27017.0,0.0,770812.0,0.0,71979.0,2220.0,17046.0,529.0,3967885.0,77761.0,51026600.0,59.0,1889.0,13.0
Peru,7.0,832929.0,0.0,32914.0,0.0,718065.0,0.0,81950.0,1268.0,25169.0,995.0,3975007.0,120117.0,33092889.0,40.0,1005.0,8.0
Argentina,8.0,824468.0,0.0,21827.0,0.0,660272.0,0.0,142369.0,4007.0,18198.0,482.0,2110994.0,46594.0,45305938.0,55.0,2076.0,21.0
Mexico,9.0,794608.0,4828.0,82348.0,471.0,557478.0,3541.0,154782.0,2417.0,6146.0,637.0,2021255.0,15633.0,129291789.0,163.0,1570.0,64.0
South Africa,10.0,685155.0,1913.0,17248.0,145.0,618127.0,1270.0,49780.0,539.0,11514.0,290.0,4318514.0,72573.0,59506184.0,87.0,3450.0,14.0
France,11.0,653509.0,18746.0,32445.0,80.0,99793.0,498.0,521271.0,1416.0,10006.0,497.0,11723039.0,179492.0,65312309.0,100.0,2013.0,6.0
UK,12.0,544275.0,14162.0,42515.0,70.0,0.0,0.0,0.0,410.0,8006.0,625.0,26417989.0,388606.0,67981342.0,125.0,1599.0,3.0
Iran,13.0,483844.0,4019.0,27658.0,239.0,397109.0,2309.0,59077.0,4274.0,5741.0,328.0,4207631.0,49926.0,84276796.0,174.0,3047.0,20.0
Chile,14.0,474440.0,1134.0,13090.0,20.0,447053.0,1635.0,14297.0,818.0,24762.0,683.0,3548773.0,185219.0,19159831.0,40.0,1464.0,5.0
Iraq,15.0,391044.0,3923.0,9604.0,73.0,319784.0,3413.0,61656.0,506.0,9666.0,237.0,2419252.0,59798.0,40456821.0,103.0,4212.0,17.0
Bangladesh,16.0,373151.0,1520.0,5440.0,35.0,286631.0,1798.0,81080.0,0.0,2260.0,33.0,2026808.0,12274.0,165124651.0,443.0,30354.0,81.0
Saudi Arabia,17.0,337711.0,468.0,4947.0,24.0,323208.0,596.0,9556.0,913.0,9661.0,142.0,6828117.0,195333.0,34956342.0,104.0,7066.0,5.0
Italy,18.0,333940.0,3678.0,36061.0,31.0,235303.0,1204.0,62576.0,337.0,5525.0,597.0,12069402.0,199700.0,60437808.0,181.0,1676.0,5.0
Philippines,19.0,329637.0,2825.0,5925.0,60.0,273723.0,437.0,49989.0,1758.0,2998.0,54.0,3979197.0,36186.0,109965827.0,334.0,18560.0,28.0
Turkey,20.0,329138.0,1581.0,8609.0,56.0,288954.0,1355.0,31575.0,1411.0,3891.0,102.0,11160946.0,131958.0,84579501.0,257.0,9825.0,8.0
Pakistan,21.0,316351.0,624.0,6535.0,12.0,301288.0,672.0,8528.0,499.0,1425.0,29.0,3730221.0,16802.0,222011887.0,702.0,33973.0,60.0
Indonesia,22.0,315714.0,4538.0,11472.0,98.0,240291.0,3854.0,63951.0,0.0,1151.0,42.0,3595719.0,13109.0,274290128.0,869.0,23910.0,76.0
Germany,23.0,311061.0,3942.0,9652.0,17.0,267700.0,2100.0,33709.0,470.0,3709.0,115.0,16999253.0,202720.0,83855794.0,270.0,8688.0,5.0
Israel,24.0,281481.0,4455.0,1824.0,27.0,216613.0,5216.0,63044.0,866.0,30604.0,198.0,3832435.0,416678.0,9197590.0,33.0,5043.0,2.0
Ukraine,25.0,239337.0,4753.0,4597.0,77.0,105970.0,2569.0,128770.0,177.0,5482.0,105.0,2423031.0,55495.0,43662298.0,182.0,9498.0,18.0
