Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop 
North America,1563094.0,18658.0,95016.0,1826.0,379926.0,1088152.0,17526.0,0.0,0.0,0.0,0.0
Europe,1696106.0,20529.0,157328.0,1566.0,704215.0,834563.0,13046.0,0.0,0.0,0.0,0.0
South America,346659.0,11035.0,18546.0,438.0,121888.0,206225.0,10127.0,0.0,0.0,0.0,0.0
Asia,719796.0,18264.0,23214.0,363.0,406249.0,290333.0,4951.0,0.0,0.0,0.0,0.0
Africa,73241.0,2259.0,2475.0,68.0,25965.0,44801.0,258.0,0.0,0.0,0.0,0.0
Oceania,8581.0,16.0,119.0,1.0,7771.0,691.0,20.0,0.0,0.0,0.0,0.0
0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0
World,4408198.0,70761.0,296713.0,4262.0,1646665.0,2464820.0,45932.0,566.0,38.1,0.0,0.0
USA,1423641.0,15005.0,84747.0,1322.0,306298.0,1032596.0,16349.0,4301.0,256.0,10143775.0,30646.0
Spain,271095.0,1575.0,27104.0,184.0,183227.0,60764.0,1534.0,5798.0,580.0,2467761.0,52781.0
Russia,242271.0,10028.0,2212.0,96.0,48003.0,192056.0,2300.0,1660.0,15.0,5982558.0,40995.0
UK,229705.0,3242.0,33186.0,494.0,0.0,196175.0,1559.0,3384.0,489.0,2094209.0,30849.0
Italy,222104.0,888.0,31106.0,195.0,112541.0,78457.0,893.0,3673.0,514.0,2735628.0,45246.0
Brazil,181518.0,3916.0,12703.0,299.0,72597.0,96218.0,8318.0,854.0,60.0,735224.0,3459.0
France,178060.0,0.0,27074.0,83.0,58673.0,92313.0,2428.0,2728.0,415.0,1384633.0,21213.0
Germany,173919.0,748.0,7819.0,81.0,148700.0,17400.0,1465.0,2076.0,93.0,3147771.0,37570.0
Turkey,143114.0,1639.0,3952.0,58.0,101715.0,37447.0,998.0,1697.0,47.0,1474003.0,17477.0
Iran,112725.0,1958.0,6783.0,50.0,89428.0,16514.0,2735.0,1342.0,81.0,629534.0,7495.0
India,78055.0,3763.0,2551.0,136.0,26400.0,49104.0,0.0,57.0,2.0,1854250.0,1344.0
Peru,76306.0,4247.0,2169.0,112.0,24324.0,49813.0,806.0,2314.0,66.0,553302.0,16781.0
Canada,72196.0,1039.0,5301.0,132.0,34916.0,31979.0,502.0,1913.0,140.0,1145683.0,30356.0
Belgium,53981.0,202.0,8843.0,82.0,13937.0,31201.0,420.0,4658.0,763.0,605237.0,52222.0
Saudi Arabia,44830.0,1905.0,273.0,9.0,17622.0,26935.0,147.0,1288.0,8.0,496948.0,14274.0
Netherlands,43211.0,227.0,5562.0,52.0,0.0,37399.0,432.0,2522.0,325.0,275720.0,16091.0
Mexico,38324.0,1997.0,3926.0,353.0,25935.0,8463.0,378.0,297.0,30.0,142204.0,1103.0
Chile,34381.0,2660.0,346.0,11.0,14865.0,19170.0,494.0,1799.0,18.0,313750.0,16413.0
Pakistan,34336.0,1662.0,737.0,13.0,8812.0,24787.0,111.0,155.0,3.0,317699.0,1438.0
Ecuador,30486.0,67.0,2334.0,7.0,3433.0,24719.0,190.0,1728.0,132.0,87036.0,4933.0
Switzerland,30413.0,33.0,1870.0,3.0,27100.0,1443.0,79.0,3514.0,216.0,322084.0,37215.0
Portugal,28132.0,219.0,1175.0,12.0,3182.0,23775.0,103.0,2759.0,115.0,566172.0,55525.0
Sweden,27909.0,637.0,3460.0,147.0,4971.0,19478.0,351.0,2763.0,343.0,177500.0,17576.0
Qatar,26539.0,1390.0,14.0,0.0,3143.0,23382.0,72.0,9212.0,5.0,139127.0,48290.0
Belarus,25825.0,952.0,146.0,4.0,7711.0,17968.0,92.0,2733.0,15.0,296380.0,31365.0
Singapore,25346.0,675.0,21.0,0.0,4809.0,20516.0,19.0,4332.0,4.0,224262.0,38333.0
Ireland,23401.0,159.0,1497.0,9.0,19470.0,2434.0,69.0,4739.0,303.0,258808.0,52414.0
UAE,20386.0,725.0,206.0,3.0,6523.0,13657.0,1.0,2061.0,21.0,1500000.0,151662.0
Bangladesh,17822.0,1162.0,269.0,19.0,3361.0,14192.0,1.0,108.0,2.0,144538.0,878.0
Poland,17204.0,283.0,861.0,22.0,6410.0,9933.0,160.0,455.0,23.0,528122.0,13954.0
Israel,16548.0,19.0,264.0,4.0,12232.0,4052.0,61.0,1912.0,31.0,477151.0,55127.0
Ukraine,16425.0,402.0,439.0,14.0,3716.0,12270.0,218.0,376.0,10.0,192247.0,4396.0
Romania,16002.0,224.0,1036.0,34.0,7961.0,7005.0,228.0,832.0,54.0,277804.0,14441.0
Austria,15997.0,36.0,624.0,1.0,14304.0,1069.0,55.0,1776.0,69.0,336252.0,37335.0
Japan,15968.0,0.0,657.0,0.0,8531.0,6780.0,249.0,126.0,5.0,223649.0,1768.0
Indonesia,15438.0,689.0,1028.0,21.0,3287.0,11123.0,0.0,56.0,4.0,169195.0,619.0
Colombia,12272.0,0.0,493.0,0.0,2971.0,8808.0,130.0,241.0,10.0,165738.0,3257.0
