Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Asia,0.0,14038547.0,97379.0,249121.0,1727.0,12529781.0,96723.0,1259645.0,22474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,11676256.0,120709.0,357960.0,1815.0,7697604.0,67890.0,3620692.0,21731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,9827282.0,49430.0,298810.0,1361.0,8828321.0,58492.0,700151.0,17958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,10997959.0,292958.0,279209.0,3916.0,4080055.0,88918.0,6638695.0,24680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1838867.0,13855.0,44014.0,237.0,1497854.0,8702.0,296999.0,2419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,39554.0,360.0,980.0,1.0,32766.0,33.0,5808.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,659.0,0.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,48419186.0,574691.0,1230109.0,9057.0,34667040.0,320758.0,12522037.0,89292.0,6212.0,157.8,0.0,0.0,0.0,0.0,0.0,0.0
China,1.0,86087.0,17.0,4634.0,0.0,81061.0,16.0,392.0,9.0,60.0,3.0,160000000.0,111163.0,1439323776.0,16719.0,310601.0,9.0
USA,2.0,9801355.0,108389.0,239829.0,1201.0,6292019.0,55849.0,3269507.0,18045.0,29551.0,723.0,152050414.0,458433.0,331674530.0,34.0,1383.0,2.0
India,3.0,8363412.0,50465.0,124354.0,704.0,7710630.0,55873.0,528428.0,8944.0,6040.0,90.0,112998959.0,81607.0,1384678624.0,166.0,11135.0,12.0
Brazil,4.0,5590941.0,23815.0,161170.0,622.0,5064344.0,36128.0,365427.0,8318.0,26238.0,756.0,21900000.0,102777.0,213081672.0,38.0,1322.0,10.0
Russia,5.0,1693454.0,19768.0,29217.0,389.0,1266931.0,15567.0,397306.0,2300.0,11602.0,200.0,62446013.0,427841.0,145956259.0,86.0,4996.0,2.0
France,6.0,1543321.0,40558.0,38674.0,385.0,122662.0,1948.0,1381985.0,4089.0,23626.0,592.0,16819377.0,257477.0,65323720.0,42.0,1689.0,4.0
Spain,7.0,1356798.0,25042.0,38118.0,297.0,0.0,0.0,0.0,2786.0,29016.0,815.0,18072174.0,386479.0,46761086.0,34.0,1227.0,3.0
Argentina,8.0,1205928.0,10652.0,32520.0,468.0,1017647.0,8369.0,155761.0,4816.0,26598.0,717.0,3114747.0,68699.0,45338767.0,38.0,1394.0,15.0
Colombia,9.0,1108084.0,8692.0,32013.0,166.0,1002202.0,8325.0,73869.0,2376.0,21698.0,627.0,5215323.0,102122.0,51069547.0,46.0,1595.0,10.0
UK,10.0,1099059.0,25177.0,47742.0,492.0,0.0,0.0,0.0,1142.0,16160.0,702.0,34920908.0,513471.0,68009540.0,62.0,1425.0,2.0
Mexico,11.0,938405.0,5250.0,92593.0,493.0,693227.0,5807.0,152585.0,2838.0,7252.0,716.0,2425553.0,18745.0,129399055.0,138.0,1398.0,53.0
Peru,12.0,911787.0,2885.0,34671.0,48.0,835694.0,2765.0,41422.0,1037.0,27522.0,1047.0,4591407.0,138591.0,33129291.0,36.0,956.0,7.0
Italy,13.0,790374.0,30547.0,39764.0,352.0,307378.0,5103.0,443232.0,2292.0,13079.0,658.0,16497767.0,273003.0,60430792.0,76.0,1520.0,4.0
South Africa,14.0,730548.0,1712.0,19585.0,46.0,660185.0,926.0,50778.0,546.0,12265.0,329.0,4893683.0,82156.0,59565429.0,82.0,3041.0,12.0
Iran,15.0,646164.0,8452.0,36579.0,419.0,500400.0,4927.0,109185.0,5426.0,7659.0,434.0,5073034.0,60134.0,84361977.0,131.0,2306.0,17.0
Germany,16.0,597359.0,20228.0,11028.0,145.0,381400.0,9900.0,204931.0,2546.0,7122.0,131.0,21882967.0,260894.0,83876966.0,140.0,7606.0,4.0
Chile,17.0,515042.0,840.0,14340.0,21.0,492149.0,1329.0,8553.0,733.0,26863.0,748.0,4427858.0,230945.0,19172818.0,37.0,1337.0,4.0
Iraq,18.0,485870.0,3574.0,11128.0,60.0,417235.0,8479.0,57507.0,430.0,11988.0,275.0,2931341.0,72328.0,40528511.0,83.0,3642.0,14.0
Belgium,19.0,453310.0,5955.0,12126.0,268.0,26661.0,662.0,414523.0,1351.0,39055.0,1045.0,5068561.0,436677.0,11607113.0,26.0,957.0,2.0
Poland,20.0,439536.0,24692.0,6475.0,373.0,168960.0,8974.0,264101.0,1625.0,11618.0,171.0,4963261.0,131192.0,37832148.0,86.0,5843.0,8.0
Indonesia,21.0,421731.0,3356.0,14259.0,113.0,353282.0,3785.0,54190.0,0.0,1536.0,52.0,4638515.0,16897.0,274519163.0,651.0,19252.0,59.0
Ukraine,22.0,420617.0,9524.0,7731.0,199.0,176404.0,7536.0,236482.0,177.0,9638.0,177.0,3312549.0,75903.0,43641589.0,104.0,5645.0,13.0
Bangladesh,23.0,414164.0,1517.0,6004.0,21.0,331697.0,1910.0,76463.0,0.0,2506.0,36.0,2389677.0,14461.0,165254557.0,399.0,27524.0,69.0
