Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Jamaica,122.0,511.0,2.0,9.0,0.0,121.0,381.0,0.0,173.0,3.0,7946.0,2685.0,2959554.0
Tanzania,123.0,509.0,0.0,21.0,0.0,183.0,305.0,7.0,9.0,0.4,0.0,0.0,59498998.0
Chad,124.0,474.0,46.0,50.0,2.0,111.0,313.0,0.0,29.0,3.0,0.0,0.0,16360644.0
Venezuela,125.0,459.0,0.0,10.0,0.0,229.0,220.0,1.0,16.0,0.4,540236.0,18992.0,28445691.0
Sierra Leone,126.0,447.0,0.0,27.0,0.0,97.0,323.0,0.0,56.0,3.0,0.0,0.0,7955312.0
Réunion,127.0,441.0,0.0,0.0,0.0,354.0,87.0,4.0,493.0,0.0,17200.0,19229.0,894505.0
Taiwan,128.0,440.0,0.0,7.0,0.0,389.0,44.0,0.0,18.0,0.3,68988.0,2897.0,23811452.0
Congo,129.0,391.0,0.0,15.0,0.0,87.0,289.0,0.0,71.0,3.0,0.0,0.0,5499613.0
Palestine,130.0,376.0,1.0,2.0,0.0,329.0,45.0,0.0,74.0,0.4,44876.0,8825.0,5085377.0
Haiti,131.0,358.0,85.0,20.0,0.0,29.0,309.0,0.0,31.0,2.0,1669.0,147.0,11384587.0
Benin,132.0,339.0,0.0,2.0,0.0,83.0,254.0,0.0,28.0,0.2,25471.0,2109.0,12079722.0
Isle of Man,133.0,335.0,1.0,24.0,0.0,285.0,26.0,9.0,3942.0,282.0,4066.0,47848.0,84977.0
Mauritius,134.0,332.0,0.0,10.0,0.0,322.0,0.0,0.0,261.0,8.0,69773.0,54874.0,1271508.0
Cabo Verde,135.0,328.0,2.0,2.0,0.0,67.0,259.0,0.0,591.0,4.0,791.0,1425.0,555212.0
Montenegro,136.0,324.0,0.0,9.0,0.0,311.0,4.0,2.0,516.0,14.0,10167.0,16188.0,628056.0
Vietnam,137.0,318.0,4.0,0.0,0.0,260.0,58.0,2.0,3.0,0.0,275000.0,2828.0,97227060.0
Ethiopia,138.0,306.0,19.0,5.0,0.0,113.0,188.0,0.0,3.0,0.04,53029.0,463.0,114576005.0
CAR,139.0,301.0,0.0,0.0,0.0,13.0,288.0,0.0,62.0,0.0,3498.0,726.0,4818688.0
Togo,140.0,298.0,35.0,11.0,0.0,99.0,188.0,0.0,36.0,1.0,12510.0,1516.0,8252463.0
Rwanda,141.0,289.0,2.0,0.0,0.0,178.0,111.0,0.0,22.0,0.0,48239.0,3737.0,12908515.0
Madagascar,142.0,283.0,45.0,0.0,0.0,114.0,169.0,3.0,10.0,0.0,5670.0,205.0,27593744.0
Nepal,143.0,281.0,14.0,1.0,1.0,36.0,244.0,0.0,10.0,0.03,92440.0,3180.0,29067490.0
South Sudan,144.0,236.0,0.0,4.0,0.0,4.0,228.0,0.0,21.0,0.4,3356.0,300.0,11176820.0
Sao Tome and Principe,145.0,235.0,0.0,7.0,0.0,4.0,224.0,0.0,1075.0,32.0,175.0,800.0,218619.0
Uganda,146.0,227.0,24.0,0.0,0.0,63.0,164.0,0.0,5.0,0.0,70117.0,1540.0,45538682.0
Liberia,147.0,223.0,4.0,20.0,0.0,116.0,87.0,0.0,44.0,4.0,0.0,0.0,5041588.0
Eswatini,148.0,202.0,12.0,2.0,0.0,72.0,128.0,0.0,174.0,2.0,4160.0,3590.0,1158626.0
Martinique,149.0,192.0,0.0,14.0,0.0,91.0,87.0,0.0,512.0,37.0,0.0,0.0,375301.0
French Guiana,150.0,189.0,0.0,1.0,0.0,124.0,64.0,0.0,635.0,3.0,0.0,0.0,297623.0
Faeroe Islands,151.0,187.0,0.0,0.0,0.0,187.0,0.0,0.0,3829.0,0.0,8779.0,179750.0,48840.0
Myanmar,152.0,182.0,1.0,6.0,0.0,96.0,80.0,0.0,3.0,0.1,13634.0,251.0,54363807.0
Guadeloupe,153.0,155.0,0.0,13.0,0.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,400116.0
Gibraltar,154.0,147.0,0.0,0.0,0.0,145.0,2.0,0.0,4363.0,0.0,5060.0,150184.0,33692.0
Brunei ,155.0,141.0,0.0,1.0,0.0,136.0,4.0,2.0,323.0,2.0,16892.0,38659.0,436944.0
Mongolia,156.0,135.0,37.0,0.0,0.0,20.0,115.0,2.0,41.0,0.0,10162.0,3106.0,3271362.0
Mozambique,157.0,129.0,10.0,0.0,0.0,43.0,86.0,0.0,4.0,0.0,5735.0,184.0,31134613.0
Yemen,158.0,122.0,16.0,18.0,3.0,1.0,103.0,0.0,4.0,0.6,120.0,4.0,29737584.0
Bermuda,159.0,122.0,0.0,9.0,0.0,66.0,47.0,2.0,1958.0,144.0,4691.0,75290.0,62306.0
Cambodia,160.0,122.0,0.0,0.0,0.0,122.0,0.0,0.0,7.0,0.0,14684.0,880.0,16688891.0
Guyana,161.0,116.0,0.0,10.0,0.0,43.0,63.0,3.0,148.0,13.0,1065.0,1355.0,786077.0
Trinidad and Tobago,162.0,116.0,0.0,8.0,0.0,107.0,1.0,0.0,83.0,6.0,2647.0,1892.0,1398925.0
Aruba,163.0,101.0,0.0,3.0,0.0,93.0,5.0,4.0,946.0,28.0,1937.0,18152.0,106709.0
Bahamas,164.0,96.0,0.0,11.0,0.0,42.0,43.0,1.0,244.0,28.0,1794.0,4568.0,392764.0
Monaco,165.0,96.0,0.0,4.0,0.0,87.0,5.0,1.0,2449.0,102.0,0.0,0.0,39207.0
Cayman Islands,166.0,94.0,0.0,1.0,0.0,55.0,38.0,0.0,1432.0,15.0,5900.0,89908.0,65623.0
Barbados,167.0,86.0,1.0,7.0,0.0,67.0,12.0,4.0,299.0,24.0,3783.0,13166.0,287332.0
Liechtenstein,168.0,82.0,0.0,1.0,0.0,55.0,26.0,0.0,2151.0,26.0,900.0,23613.0,38114.0
Sint Maarten,169.0,76.0,0.0,15.0,0.0,46.0,15.0,7.0,1775.0,350.0,329.0,7685.0,42813.0
Malawi,170.0,65.0,2.0,3.0,0.0,24.0,38.0,1.0,3.0,0.2,1762.0,92.0,19062368.0
Libya,171.0,64.0,0.0,3.0,0.0,28.0,33.0,0.0,9.0,0.4,3633.0,530.0,6859160.0
French Polynesia,172.0,60.0,0.0,0.0,0.0,59.0,1.0,0.0,214.0,0.0,3216.0,11457.0,280704.0
Syria,173.0,51.0,1.0,3.0,0.0,36.0,12.0,0.0,3.0,0.2,0.0,0.0,17442911.0
Angola,174.0,48.0,0.0,2.0,0.0,17.0,29.0,0.0,1.0,0.06,6136.0,188.0,32723364.0
Macao,175.0,45.0,0.0,0.0,0.0,43.0,2.0,1.0,69.0,0.0,0.0,0.0,648186.0
Zimbabwe,176.0,42.0,0.0,4.0,0.0,13.0,25.0,0.0,3.0,0.3,25478.0,1717.0,14834717.0
Mauritania,177.0,40.0,11.0,4.0,1.0,7.0,29.0,0.0,9.0,0.9,2015.0,435.0,4632917.0
Saint Martin,178.0,39.0,0.0,3.0,0.0,30.0,6.0,1.0,1011.0,78.0,0.0,0.0,38579.0
Eritrea,179.0,39.0,0.0,0.0,0.0,39.0,0.0,0.0,11.0,0.0,0.0,0.0,3540041.0
Nicaragua,180.0,25.0,0.0,8.0,0.0,7.0,10.0,0.0,4.0,1.0,0.0,0.0,6614394.0
Antigua and Barbuda,181.0,25.0,0.0,3.0,0.0,19.0,3.0,1.0,256.0,31.0,183.0,1871.0,97826.0
Botswana,182.0,24.0,0.0,1.0,0.0,17.0,6.0,0.0,10.0,0.4,11495.0,4901.0,2345288.0
Timor-Leste,183.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,18.0,0.0,738.0,561.0,1315109.0
Gambia,184.0,23.0,0.0,1.0,0.0,12.0,10.0,0.0,10.0,0.4,1341.0,557.0,2407297.0
Grenada,185.0,22.0,0.0,0.0,0.0,14.0,8.0,4.0,196.0,0.0,2419.0,21510.0,112458.0
Bhutan,186.0,21.0,0.0,0.0,0.0,5.0,16.0,0.0,27.0,0.0,13660.0,17728.0,770517.0
Laos,187.0,19.0,0.0,0.0,0.0,14.0,5.0,0.0,3.0,0.0,4424.0,609.0,7261799.0
Belize,188.0,18.0,0.0,2.0,0.0,16.0,0.0,0.0,45.0,5.0,1043.0,2629.0,396673.0
Fiji,189.0,18.0,0.0,0.0,0.0,15.0,3.0,0.0,20.0,0.0,1300.0,1452.0,895624.0
New Caledonia,190.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,63.0,0.0,5454.0,19127.0,285148.0
Saint Lucia,191.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,98.0,0.0,786.0,4283.0,183522.0
St. Vincent Grenadines,192.0,17.0,0.0,0.0,0.0,14.0,3.0,0.0,153.0,0.0,155.0,1398.0,110896.0
Curaçao,193.0,16.0,0.0,1.0,0.0,14.0,1.0,0.0,98.0,6.0,389.0,2372.0,164009.0
Dominica,194.0,16.0,0.0,0.0,0.0,15.0,1.0,0.0,222.0,0.0,420.0,5836.0,71964.0
Namibia,195.0,16.0,0.0,0.0,0.0,13.0,3.0,0.0,6.0,0.0,2074.0,818.0,2534815.0
Burundi,196.0,15.0,0.0,1.0,0.0,7.0,7.0,0.0,1.0,0.08,284.0,24.0,11841556.0
Saint Kitts and Nevis,197.0,15.0,0.0,0.0,0.0,14.0,1.0,0.0,282.0,0.0,327.0,6152.0,53151.0
Falkland Islands,198.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,3751.0,0.0,402.0,115984.0,3466.0
Turks and Caicos,199.0,12.0,0.0,1.0,0.0,10.0,1.0,0.0,310.0,26.0,109.0,2820.0,38649.0
Vatican City,200.0,12.0,0.0,0.0,0.0,2.0,10.0,0.0,14981.0,0.0,0.0,0.0,801.0
Comoros,201.0,11.0,0.0,1.0,0.0,3.0,7.0,0.0,13.0,1.0,0.0,0.0,867116.0
Montserrat,202.0,11.0,0.0,1.0,0.0,10.0,0.0,0.0,2204.0,200.0,36.0,7212.0,4992.0
Greenland,203.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,194.0,0.0,1629.0,28701.0,56758.0
Seychelles,204.0,11.0,0.0,0.0,0.0,10.0,1.0,0.0,112.0,0.0,0.0,0.0,98270.0
Suriname,205.0,10.0,0.0,1.0,0.0,9.0,0.0,0.0,17.0,2.0,404.0,689.0,585963.0
MS Zaandam,206.0,9.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
British Virgin Islands,207.0,8.0,0.0,1.0,0.0,6.0,1.0,0.0,265.0,33.0,167.0,5529.0,30206.0
Papua New Guinea,208.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.9,0.0,2402.0,269.0,8924516.0
Caribbean Netherlands,209.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,229.0,0.0,357.0,13630.0,26192.0
St. Barth,210.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,608.0,0.0,0.0,0.0,9873.0
Western Sahara,211.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,595342.0
Anguilla,212.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,200.0,0.0,0.0,0.0,14986.0
Lesotho,213.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,2140096.0
Saint Pierre Miquelon,214.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,173.0,0.0,0.0,0.0,5797.0
China,215.0,82941.0,8.0,4633.0,0.0,78219.0,89.0,11.0,58.0,3.0,0.0,0.0,1439323776.0
