Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Asia,0.0,936333.0,24297.0,27068.0,394.0,546115.0,363150.0,13796.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,1851841.0,27487.0,113270.0,1640.0,551938.0,1186633.0,18269.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,604966.0,26779.0,30590.0,1229.0,230827.0,343549.0,10818.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,1885900.0,17734.0,169275.0,856.0,863138.0,853487.0,10363.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,109470.0,3625.0,3267.0,63.0,44166.0,62037.0,306.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8719.0,16.0,123.0,1.0,8050.0,546.0,6.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,5397950.0,99938.0,343608.0,4183.0,2244885.0,2809457.0,53562.0,693.0,44.1,0.0,0.0,0.0
China,1.0,82971.0,0.0,4634.0,0.0,78258.0,79.0,9.0,58.0,3.0,0.0,0.0,1439323776.0
USA,2.0,1666828.0,21929.0,98683.0,1036.0,446914.0,1121231.0,17133.0,5039.0,298.0,14357969.0,43404.0,330801130.0
Brazil,3.0,347398.0,16508.0,22013.0,965.0,142587.0,182798.0,8318.0,1636.0,104.0,735224.0,3461.0,212401542.0
Russia,4.0,335882.0,9434.0,3388.0,139.0,107936.0,224558.0,2300.0,2302.0,23.0,8402747.0,57581.0,145928144.0
Spain,5.0,282370.0,466.0,28678.0,50.0,196958.0,56734.0,1152.0,6040.0,613.0,3037840.0,64976.0,46752950.0
UK,6.0,257154.0,2959.0,36675.0,282.0,0.0,0.0,1559.0,3790.0,541.0,3348507.0,49352.0,67849102.0
Italy,7.0,229327.0,669.0,32735.0,119.0,138840.0,57752.0,572.0,3792.0,541.0,3391188.0,56080.0,60470714.0
France,8.0,182469.0,250.0,28332.0,43.0,64547.0,89590.0,1665.0,2796.0,434.0,1384633.0,21218.0,65258794.0
Germany,9.0,179986.0,273.0,8366.0,14.0,159900.0,11720.0,919.0,2149.0,100.0,3595059.0,42923.0,83756505.0
Turkey,10.0,155686.0,1186.0,4308.0,32.0,117602.0,33776.0,775.0,1848.0,51.0,1807673.0,21458.0,84242466.0
Iran,11.0,133521.0,1869.0,7359.0,59.0,104072.0,22090.0,2633.0,1592.0,88.0,781286.0,9315.0,83877328.0
India,12.0,131423.0,6629.0,3868.0,142.0,54385.0,73170.0,8944.0,95.0,3.0,2834798.0,2056.0,1378566974.0
Peru,13.0,115754.0,4056.0,3373.0,129.0,47915.0,64466.0,909.0,3516.0,102.0,788341.0,23946.0,32922175.0
Canada,14.0,83621.0,1141.0,6355.0,105.0,43305.0,33961.0,502.0,2218.0,169.0,1431911.0,37974.0,37707284.0
Saudi Arabia,15.0,70161.0,2442.0,379.0,15.0,41236.0,28546.0,339.0,2019.0,11.0,684615.0,19698.0,34754742.0
Chile,16.0,65393.0,3536.0,673.0,43.0,26546.0,38174.0,1062.0,3424.0,35.0,457332.0,23945.0,19098926.0
Mexico,17.0,62527.0,2960.0,6989.0,479.0,42725.0,12813.0,378.0,486.0,54.0,201838.0,1567.0,128788747.0
Belgium,18.0,56810.0,299.0,9237.0,25.0,15155.0,32418.0,259.0,4904.0,797.0,768706.0,66357.0,11584427.0
Pakistan,19.0,52437.0,1743.0,1101.0,34.0,16653.0,34683.0,111.0,238.0,5.0,460692.0,2090.0,220415479.0
Netherlands,20.0,45064.0,176.0,5811.0,23.0,0.0,0.0,227.0,2631.0,339.0,313755.0,18315.0,17131009.0
Qatar,21.0,42213.0,1732.0,21.0,2.0,8513.0,33679.0,177.0,14679.0,7.0,184794.0,64260.0,2875712.0
Ecuador,22.0,36258.0,430.0,3096.0,40.0,3557.0,29605.0,208.0,2058.0,176.0,105462.0,5987.0,17613893.0
Belarus,23.0,35244.0,941.0,194.0,4.0,13528.0,21522.0,92.0,3730.0,21.0,434618.0,45993.0,9449636.0
Sweden,24.0,33188.0,379.0,3992.0,67.0,4971.0,24225.0,265.0,3288.0,396.0,209900.0,20797.0,10092714.0
Bangladesh,25.0,32078.0,1873.0,452.0,20.0,6486.0,25140.0,1.0,195.0,3.0,234675.0,1426.0,164515439.0
Singapore,26.0,31068.0,642.0,23.0,0.0,13882.0,17163.0,8.0,5315.0,4.0,294414.0,50366.0,5845516.0
Switzerland,27.0,30725.0,18.0,1905.0,2.0,28000.0,820.0,51.0,3553.0,220.0,367037.0,42442.0,8648002.0
Portugal,28.0,30471.0,271.0,1302.0,13.0,7705.0,21464.0,80.0,2987.0,128.0,689705.0,67620.0,10199659.0
UAE,29.0,28704.0,812.0,244.0,3.0,14495.0,13965.0,1.0,2906.0,25.0,1600923.0,162076.0,9877597.0
Ireland,30.0,24582.0,76.0,1604.0,12.0,21060.0,1918.0,54.0,4984.0,325.0,295626.0,59942.0,4931903.0
Indonesia,31.0,21745.0,949.0,1351.0,25.0,5249.0,15145.0,0.0,80.0,5.0,239740.0,877.0,273216033.0
South Africa,32.0,21343.0,1218.0,407.0,10.0,10104.0,10832.0,119.0,360.0,7.0,564370.0,9529.0,59228347.0
Poland,33.0,20931.0,312.0,993.0,11.0,8977.0,10961.0,160.0,553.0,26.0,750939.0,19839.0,37850763.0
Ukraine,34.0,20580.0,432.0,605.0,17.0,6929.0,13046.0,256.0,470.0,14.0,277712.0,6346.0,43759415.0
