Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop,1_st case
Brunei ,120.0,5.0,1.0,1.0,25.0,94.0,1.0,274.0,2.0,Mar 08 
Cuba,119.0,39.0,3.0,1.0,4.0,112.0,2.0,11.0,0.3,Mar 10 
Venezuela,113.0,0.0,2.0,0.0,39.0,72.0,2.0,4.0,0.07,Mar 12 
Sri Lanka,113.0,7.0,1.0,1.0,9.0,103.0,5.0,5.0,0.05,Jan 26 
Afghanistan,110.0,0.0,4.0,0.0,2.0,104.0,0.0,3.0,0.1,Feb 23 
Uzbekistan,104.0,16.0,2.0,1.0,5.0,97.0,8.0,3.0,0.06,Mar 14 
Mauritius,102.0,8.0,2.0,0.0,0.0,100.0,1.0,80.0,2.0,Mar 17 
Ivory Coast,101.0,0.0,0.0,0.0,3.0,98.0,0.0,4.0,0.0,Mar 10 
Cambodia,99.0,0.0,0.0,0.0,13.0,86.0,1.0,6.0,0.0,Jan 26 
Palestine,97.0,6.0,1.0,0.0,18.0,78.0,0.0,19.0,0.2,Mar 04 
Guadeloupe,96.0,23.0,2.0,1.0,17.0,77.0,4.0,240.0,5.0,Mar 12 
Honduras,95.0,27.0,1.0,0.0,3.0,91.0,4.0,10.0,0.1,Mar 10 
Belarus,94.0,0.0,0.0,0.0,32.0,62.0,2.0,10.0,0.0,Feb 27 
Martinique,93.0,0.0,1.0,0.0,0.0,92.0,12.0,248.0,3.0,Mar 04 
Cameroon,91.0,0.0,2.0,0.0,2.0,87.0,0.0,3.0,0.08,Mar 05 
Channel Islands,88.0,0.0,1.0,0.0,0.0,87.0,0.0,506.0,6.0,Mar 08 
Georgia,85.0,2.0,0.0,0.0,14.0,71.0,1.0,21.0,0.0, Feb 25 
Montenegro,82.0,0.0,1.0,0.0,0.0,81.0,1.0,131.0,2.0,Mar 16 
Nigeria,81.0,11.0,1.0,0.0,3.0,77.0,0.0,0.4,0.0,Feb 27 
Trinidad and Tobago,74.0,8.0,2.0,0.0,1.0,71.0,0.0,53.0,1.0,Mar 11 
Bolivia,74.0,13.0,0.0,0.0,0.0,74.0,0.0,6.0,0.0,Mar 09 
DRC,58.0,7.0,6.0,3.0,2.0,50.0,0.0,0.6,0.07,Mar 09 
Kyrgyzstan,58.0,0.0,0.0,0.0,0.0,58.0,0.0,9.0,0.0,Mar 17 
Paraguay,56.0,4.0,3.0,0.0,1.0,52.0,1.0,8.0,0.4,Mar 06 
Liechtenstein,56.0,0.0,0.0,0.0,0.0,56.0,0.0,1469.0,0.0,Mar 02 
Gibraltar,55.0,0.0,0.0,0.0,14.0,41.0,0.0,1632.0,0.0,Mar 02 
Rwanda,54.0,0.0,0.0,0.0,0.0,54.0,0.0,4.0,0.0,Mar 13 
Mayotte,50.0,0.0,0.0,0.0,0.0,50.0,0.0,183.0,0.0,Mar 13 
Bangladesh,48.0,0.0,5.0,0.0,15.0,28.0,1.0,0.3,0.03,Mar 07 
Monaco,42.0,0.0,0.0,0.0,1.0,41.0,0.0,1070.0,0.0,Feb 27 
Kenya,38.0,7.0,1.0,0.0,1.0,36.0,2.0,0.7,0.02,Mar 12 
Macao,34.0,0.0,0.0,0.0,10.0,24.0,0.0,52.0,0.0,Jan 21 
Aruba,33.0,0.0,0.0,0.0,1.0,32.0,0.0,309.0,0.0,Mar 12 
Guatemala,32.0,4.0,1.0,0.0,4.0,27.0,1.0,2.0,0.06,Mar 12 
Isle of Man,32.0,3.0,0.0,0.0,0.0,32.0,0.0,376.0,0.0,Mar 18 
Jamaica,30.0,4.0,1.0,0.0,2.0,27.0,0.0,10.0,0.3,Mar 09 
French Polynesia,30.0,0.0,0.0,0.0,0.0,30.0,0.0,107.0,0.0,Mar 10 
French Guiana,28.0,0.0,0.0,0.0,6.0,22.0,0.0,94.0,0.0,Mar 06 
Zambia,28.0,6.0,0.0,0.0,0.0,28.0,0.0,2.0,0.0,Mar 17 
Barbados,26.0,0.0,0.0,0.0,0.0,26.0,0.0,90.0,0.0,Mar 16 
Madagascar,26.0,0.0,0.0,0.0,0.0,26.0,0.0,0.9,0.0,Mar 19 
Togo,25.0,0.0,1.0,0.0,1.0,23.0,0.0,3.0,0.1,Mar 05 
Uganda,23.0,0.0,0.0,0.0,0.0,23.0,0.0,0.5,0.0,Mar 20 
El Salvador,19.0,6.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,Mar 18 
Mali,18.0,7.0,0.0,0.0,0.0,18.0,0.0,0.9,0.0,Mar 24 
Bermuda,17.0,0.0,0.0,0.0,2.0,15.0,0.0,273.0,0.0,Mar 17 
Ethiopia,16.0,0.0,0.0,0.0,1.0,15.0,0.0,0.1,0.0,Mar 12 
Maldives,16.0,0.0,0.0,0.0,9.0,7.0,0.0,30.0,0.0,Mar 06 
New Caledonia,15.0,0.0,0.0,0.0,0.0,15.0,0.0,53.0,0.0,Mar 17 
Tanzania,13.0,0.0,0.0,0.0,1.0,12.0,0.0,0.2,0.0,Mar 15 
Djibouti,12.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,Mar 17 
Equatorial Guinea,12.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,Mar 13 
Mongolia,12.0,1.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,Mar 09 
Dominica,11.0,0.0,0.0,0.0,0.0,11.0,0.0,153.0,0.0,Mar 21 
Saint Martin,11.0,0.0,0.0,0.0,0.0,11.0,0.0,284.0,0.0,Feb 29 
Niger,10.0,0.0,1.0,0.0,0.0,9.0,0.0,0.4,0.04,Mar 18 
Bahamas,10.0,0.0,0.0,0.0,1.0,9.0,0.0,25.0,0.0,Mar 14 
Greenland,10.0,0.0,0.0,0.0,2.0,8.0,0.0,176.0,0.0,Mar 15 
Eswatini,9.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,Mar 13 
Cayman Islands,8.0,0.0,1.0,0.0,0.0,7.0,0.0,122.0,15.0,Mar 12 
Curaçao,8.0,0.0,1.0,0.0,2.0,5.0,0.0,49.0,6.0,Mar 12 
Guinea,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.6,0.0,Mar 12 
Haiti,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.7,0.0,Mar 19 
Mozambique,8.0,1.0,0.0,0.0,0.0,8.0,0.0,0.3,0.0,Mar 21  
Myanmar,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.1,0.0,Mar 22 
Namibia,8.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,Mar 13 
Suriname,8.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0,Mar 12 
Gabon,7.0,0.0,1.0,0.0,0.0,6.0,0.0,3.0,0.4,Mar 12 
Zimbabwe,7.0,2.0,1.0,0.0,0.0,6.0,0.0,0.5,0.07,Mar 19 
Antigua and Barbuda,7.0,0.0,0.0,0.0,0.0,7.0,0.0,71.0,0.0,Mar 12 
Grenada,7.0,0.0,0.0,0.0,0.0,7.0,0.0,62.0,0.0,Mar 21 
Seychelles,7.0,0.0,0.0,0.0,0.0,7.0,0.0,71.0,0.0,Mar 13 
Benin,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.0,Mar 15 
Eritrea,6.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,Mar 20 
Laos,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.8,0.0,Mar 23 
Cabo Verde,5.0,0.0,1.0,0.0,0.0,4.0,0.0,9.0,2.0,Mar 19 
Guyana,5.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,Mar 11 
Sudan,5.0,2.0,1.0,0.0,0.0,4.0,0.0,0.1,0.02,Mar 12 
Nepal,5.0,1.0,0.0,0.0,1.0,4.0,0.0,0.2,0.0,Jan 23 
Fiji,5.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,Mar 18 
Mauritania,5.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,Mar 12 
Montserrat,5.0,0.0,0.0,0.0,0.0,5.0,0.0,1002.0,0.0,Mar 17 
St. Barth,5.0,0.0,0.0,0.0,0.0,5.0,0.0,506.0,0.0,Feb 29 
Syria,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.0,Mar 21 
Nicaragua,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.6,0.2,Mar 18 
Angola,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.0,Mar 19 
Congo,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.0,Mar 14 
Vatican City,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4994.0,0.0,Mar 05 
Gambia,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.4,Mar 16 
