Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
Andorra,376.0,6.0,12.0,4.0,10.0,354.0,12.0,4866.0,155.0
Slovakia,363.0,27.0,0.0,0.0,3.0,360.0,1.0,66.0,0.0
Moldova,353.0,55.0,4.0,2.0,18.0,331.0,44.0,88.0,1.0
Costa Rica,347.0,17.0,2.0,0.0,4.0,341.0,8.0,68.0,0.4
Kazakhstan,343.0,41.0,2.0,1.0,24.0,317.0,6.0,18.0,0.1
Uruguay,338.0,18.0,1.0,0.0,41.0,296.0,12.0,97.0,0.3
North Macedonia,329.0,44.0,9.0,2.0,12.0,308.0,4.0,158.0,4.0
Taiwan,322.0,16.0,5.0,0.0,39.0,278.0,0.0,14.0,0.2
Azerbaijan,298.0,25.0,5.0,1.0,26.0,267.0,11.0,29.0,0.5
Kuwait,289.0,23.0,0.0,0.0,73.0,216.0,13.0,68.0,0.0
Jordan,274.0,6.0,5.0,0.0,30.0,239.0,5.0,27.0,0.5
Cyprus,262.0,32.0,8.0,1.0,23.0,231.0,3.0,217.0,7.0
Burkina Faso,261.0,15.0,14.0,2.0,32.0,215.0,0.0,12.0,0.7
Réunion,247.0,23.0,0.0,0.0,1.0,246.0,4.0,276.0,0.0
Albania,243.0,20.0,15.0,4.0,52.0,176.0,8.0,84.0,5.0
San Marino,236.0,6.0,26.0,1.0,13.0,197.0,16.0,6955.0,766.0
Vietnam,212.0,8.0,0.0,0.0,58.0,154.0,3.0,2.0,0.0
Cameroon,193.0,54.0,6.0,0.0,5.0,182.0,0.0,7.0,0.2
Oman,192.0,13.0,1.0,1.0,34.0,157.0,3.0,38.0,0.2
Cuba,186.0,16.0,6.0,2.0,8.0,172.0,3.0,16.0,0.5
Ivory Coast,179.0,11.0,1.0,0.0,7.0,171.0,0.0,7.0,0.04
Senegal,175.0,13.0,0.0,0.0,40.0,135.0,0.0,10.0,0.0
Afghanistan,174.0,4.0,4.0,0.0,5.0,165.0,0.0,4.0,0.1
Uzbekistan,172.0,23.0,2.0,0.0,7.0,163.0,8.0,5.0,0.06
Faeroe Islands,169.0,1.0,0.0,0.0,74.0,95.0,3.0,3459.0,0.0
Malta,169.0,13.0,0.0,0.0,2.0,167.0,2.0,383.0,0.0
Ghana,161.0,9.0,5.0,0.0,31.0,125.0,1.0,5.0,0.2
Belarus,152.0,0.0,1.0,1.0,47.0,104.0,2.0,16.0,0.1
Mauritius,143.0,15.0,5.0,2.0,0.0,138.0,1.0,112.0,4.0
Sri Lanka,143.0,21.0,2.0,0.0,17.0,124.0,5.0,7.0,0.09
Honduras,141.0,2.0,7.0,0.0,3.0,131.0,4.0,14.0,0.7
Channel Islands,141.0,0.0,3.0,1.0,0.0,138.0,0.0,811.0,17.0
Venezuela,135.0,0.0,3.0,0.0,39.0,93.0,6.0,5.0,0.1
Nigeria,135.0,4.0,2.0,0.0,8.0,125.0,0.0,0.7,0.01
Brunei ,129.0,2.0,1.0,0.0,45.0,83.0,3.0,295.0,2.0
Martinique,128.0,35.0,3.0,2.0,27.0,98.0,15.0,341.0,8.0
Palestine,119.0,2.0,1.0,0.0,18.0,100.0,0.0,23.0,0.2
Guadeloupe,114.0,8.0,4.0,0.0,22.0,88.0,14.0,285.0,10.0
Georgia,110.0,7.0,0.0,0.0,21.0,89.0,6.0,28.0,0.0
Montenegro,109.0,18.0,2.0,1.0,0.0,107.0,1.0,174.0,3.0
Cambodia,109.0,2.0,0.0,0.0,23.0,86.0,1.0,7.0,0.0
Bolivia,107.0,10.0,6.0,2.0,0.0,101.0,3.0,9.0,0.5
Kyrgyzstan,107.0,13.0,0.0,0.0,3.0,104.0,0.0,16.0,0.0
DRC,98.0,17.0,8.0,0.0,2.0,88.0,0.0,1.0,0.09
Mayotte,94.0,12.0,1.0,1.0,10.0,83.0,3.0,345.0,4.0
Trinidad and Tobago,87.0,4.0,3.0,0.0,1.0,83.0,0.0,62.0,2.0
Rwanda,75.0,5.0,0.0,0.0,0.0,75.0,0.0,6.0,0.0
Gibraltar,69.0,0.0,0.0,0.0,34.0,35.0,0.0,2048.0,0.0
Liechtenstein,68.0,6.0,0.0,0.0,0.0,68.0,0.0,1783.0,0.0
Paraguay,65.0,1.0,3.0,0.0,1.0,61.0,3.0,9.0,0.4
Isle of Man,60.0,11.0,0.0,0.0,0.0,60.0,0.0,706.0,0.0
Kenya,59.0,9.0,1.0,0.0,1.0,57.0,2.0,1.0,0.02
Madagascar,57.0,14.0,0.0,0.0,0.0,57.0,6.0,2.0,0.0
Aruba,55.0,5.0,0.0,0.0,1.0,54.0,0.0,515.0,0.0
Monaco,52.0,3.0,1.0,0.0,2.0,49.0,0.0,1325.0,25.0
Bangladesh,51.0,2.0,5.0,0.0,25.0,21.0,1.0,0.3,0.03
French Guiana,51.0,8.0,0.0,0.0,15.0,36.0,0.0,171.0,0.0
Uganda,44.0,11.0,0.0,0.0,0.0,44.0,0.0,1.0,0.0
Macao,41.0,3.0,0.0,0.0,10.0,31.0,0.0,63.0,0.0
Jamaica,38.0,2.0,2.0,1.0,2.0,34.0,0.0,13.0,0.7
Guatemala,38.0,2.0,1.0,0.0,12.0,25.0,1.0,2.0,0.06
French Polynesia,37.0,1.0,0.0,0.0,0.0,37.0,1.0,132.0,0.0
Zambia,36.0,1.0,0.0,0.0,0.0,36.0,0.0,2.0,0.0
Niger,34.0,7.0,3.0,0.0,0.0,31.0,0.0,1.0,0.1
Togo,34.0,4.0,1.0,0.0,10.0,23.0,0.0,4.0,0.1
Barbados,34.0,1.0,0.0,0.0,0.0,34.0,0.0,118.0,0.0
El Salvador,32.0,2.0,1.0,1.0,0.0,31.0,5.0,5.0,0.2
Bermuda,32.0,5.0,0.0,0.0,10.0,22.0,0.0,514.0,0.0
Djibouti,30.0,12.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0
Mali,28.0,3.0,2.0,0.0,0.0,26.0,0.0,1.0,0.1
Ethiopia,26.0,3.0,0.0,0.0,2.0,24.0,2.0,0.2,0.0
Guinea,22.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0
Tanzania,19.0,0.0,1.0,1.0,1.0,17.0,0.0,0.3,0.02
Congo,19.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0
Maldives,18.0,1.0,0.0,0.0,13.0,5.0,0.0,33.0,0.0
Gabon,16.0,9.0,1.0,0.0,0.0,15.0,0.0,7.0,0.4
New Caledonia,16.0,1.0,0.0,0.0,0.0,16.0,0.0,56.0,0.0
Myanmar,15.0,1.0,1.0,1.0,0.0,14.0,0.0,0.3,0.02
Saint Martin,15.0,0.0,1.0,0.0,2.0,12.0,0.0,388.0,26.0
Equatorial Guinea,15.0,3.0,0.0,0.0,1.0,14.0,0.0,11.0,0.0
Eritrea,15.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0
Haiti,15.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0
Cayman Islands,14.0,2.0,1.0,0.0,0.0,13.0,0.0,213.0,15.0
Bahamas,14.0,0.0,0.0,0.0,1.0,13.0,0.0,36.0,0.0
Saint Lucia,13.0,4.0,0.0,0.0,1.0,12.0,0.0,71.0,0.0
Guyana,12.0,4.0,2.0,1.0,0.0,10.0,0.0,15.0,3.0
Dominica,12.0,0.0,0.0,0.0,0.0,12.0,0.0,167.0,0.0
Mongolia,12.0,0.0,0.0,0.0,2.0,10.0,0.0,4.0,0.0
Curaçao,11.0,0.0,1.0,0.0,2.0,8.0,0.0,67.0,6.0
Namibia,11.0,0.0,0.0,0.0,2.0,9.0,0.0,4.0,0.0
