Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
North America,0.0,1789007.0,26206.0,109504.0,1687.0,479184.0,1200319.0,18964.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,1848247.0,17580.0,166800.0,1002.0,826112.0,855335.0,10754.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,532450.0,12362.0,27118.0,493.0,196971.0,308361.0,10656.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,887218.0,23760.0,26237.0,384.0,515285.0,345696.0,4882.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,100536.0,3546.0,3088.0,78.0,40222.0,57226.0,285.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8688.0,2.0,121.0,0.0,8025.0,542.0,10.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,5166867.0,83456.0,332883.0,3644.0,2066450.0,2767534.0,45555.0,663.0,42.7,0.0,0.0,0.0
USA,1.0,1614903.0,22180.0,96075.0,1139.0,380566.0,1138262.0,17820.0,4882.0,290.0,13345919.0,40346.0,330785250.0
Russia,2.0,317554.0,8849.0,3099.0,127.0,92681.0,221774.0,2300.0,2176.0,21.0,7840880.0,53731.0,145927633.0
Brazil,3.0,296113.0,2756.0,19156.0,262.0,116683.0,160274.0,8318.0,1394.0,90.0,735224.0,3462.0,212389176.0
Spain,4.0,280117.0,593.0,27940.0,52.0,196958.0,55219.0,1152.0,5991.0,598.0,3037840.0,64977.0,46752802.0
UK,5.0,250908.0,2615.0,36042.0,338.0,0.0,0.0,1559.0,3698.0,531.0,3090566.0,45553.0,67846185.0
Italy,6.0,228006.0,642.0,32486.0,156.0,134560.0,60960.0,640.0,3770.0,537.0,3243398.0,53635.0,60471440.0
France,7.0,181826.0,251.0,28215.0,83.0,63858.0,89753.0,1745.0,2786.0,432.0,1384633.0,21218.0,65257613.0
Germany,8.0,178965.0,434.0,8304.0,34.0,158000.0,12661.0,1016.0,2137.0,99.0,3595059.0,42924.0,83754315.0
Turkey,9.0,153548.0,961.0,4249.0,27.0,114990.0,34309.0,820.0,1823.0,50.0,1729988.0,20538.0,84235031.0
Iran,10.0,129341.0,2392.0,7249.0,66.0,100564.0,21528.0,2655.0,1542.0,86.0,746045.0,8895.0,83868516.0
India,11.0,118226.0,6198.0,3584.0,150.0,48553.0,66089.0,0.0,86.0,3.0,2615920.0,1898.0,1378455853.0
Peru,12.0,108769.0,4749.0,3148.0,124.0,43587.0,62034.0,886.0,3304.0,96.0,736500.0,22373.0,32918409.0
Canada,13.0,81279.0,1137.0,6145.0,114.0,41623.0,33511.0,502.0,2156.0,163.0,1375126.0,36471.0,37704575.0
Saudi Arabia,14.0,65077.0,2532.0,351.0,12.0,36040.0,28686.0,281.0,1873.0,10.0,651158.0,18738.0,34750295.0
