Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,6161921.0,46326.0,235322.0,790.0,3286922.0,26397.0,2639677.0,24939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,4774522.0,25062.0,160445.0,769.0,3248209.0,2476.0,1365868.0,14719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,5119268.0,79755.0,110999.0,1384.0,3876984.0,66144.0,1131285.0,18683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,3064102.0,17640.0,206394.0,325.0,1836684.0,12112.0,1021024.0,5182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1059790.0,7696.0,23626.0,302.0,746923.0,10285.0,289241.0,1161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,23309.0,323.0,340.0,19.0,13557.0,9.0,9412.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,20203633.0,176802.0,737141.0,3589.0,13009930.0,117423.0,6456562.0,64739.0,2592.0,94.6,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,5238251.0,38807.0,166040.0,423.0,2682385.0,17684.0,2389826.0,17795.0,15815.0,501.0,66042894.0,199396.0,331214010.0,63.0,1995.0,5.0
Brazil,2.0,3057470.0,21888.0,101752.0,616.0,2118460.0,0.0,837258.0,8318.0,14373.0,478.0,13231548.0,62201.0,212723058.0,70.0,2091.0,16.0
India,3.0,2267153.0,53016.0,45353.0,887.0,1581640.0,47362.0,640160.0,8944.0,1641.0,33.0,24583558.0,17795.0,1381456118.0,609.0,30460.0,56.0
Russia,4.0,892654.0,5118.0,15001.0,70.0,696681.0,3259.0,180972.0,2300.0,6117.0,103.0,30800000.0,211044.0,145941435.0,163.0,9729.0,5.0
South Africa,5.0,563598.0,3739.0,10621.0,213.0,417200.0,5726.0,135777.0,539.0,9490.0,179.0,3267494.0,55020.0,59387695.0,105.0,5592.0,18.0
Mexico,6.0,480278.0,4376.0,52298.0,292.0,322465.0,3827.0,105515.0,3708.0,3721.0,405.0,1091695.0,8458.0,129077256.0,269.0,2468.0,118.0
Peru,7.0,478024.0,0.0,21072.0,0.0,324020.0,0.0,132932.0,1488.0,14477.0,638.0,2573691.0,77943.0,33020085.0,69.0,1567.0,13.0
Colombia,8.0,387481.0,0.0,12842.0,0.0,212688.0,0.0,161951.0,1493.0,7607.0,252.0,1909111.0,37477.0,50940705.0,131.0,3967.0,27.0
Chile,9.0,375044.0,1988.0,10139.0,62.0,347342.0,1516.0,17563.0,1276.0,19601.0,530.0,1867367.0,97595.0,19133857.0,51.0,1887.0,10.0
Spain,10.0,370060.0,2873.0,28576.0,73.0,0.0,0.0,0.0,617.0,7915.0,611.0,7472031.0,159806.0,46756796.0,126.0,1636.0,6.0
Iran,11.0,328844.0,2132.0,18616.0,189.0,286642.0,2271.0,23586.0,3992.0,3910.0,221.0,2711817.0,32243.0,84106435.0,256.0,4518.0,31.0
UK,12.0,311641.0,816.0,46526.0,21.0,0.0,0.0,0.0,67.0,4588.0,685.0,18349668.0,270146.0,67924946.0,218.0,1460.0,4.0
