Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
North America,0.0,2063287.0,22454.0,124666.0,1194.0,678300.0,1260321.0,19378.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,867935.0,23316.0,39810.0,495.0,349979.0,478146.0,11321.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,2019770.0,15544.0,173726.0,446.0,986971.0,859073.0,8766.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,1136750.0,29230.0,30772.0,565.0,694524.0,411454.0,13597.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,148431.0,4662.0,4231.0,139.0,63310.0,80890.0,346.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8804.0,10.0,125.0,0.0,8196.0,483.0,4.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,6245698.0,95216.0,373345.0,2839.0,2781931.0,3090422.0,53416.0,801.0,47.9,0.0,0.0,0.0
USA,1.0,1834494.0,17674.0,106140.0,583.0,541168.0,1187186.0,17102.0,5545.0,321.0,17580172.0,53138.0,330838184.0
Brazil,2.0,506708.0,8268.0,29101.0,267.0,205371.0,272236.0,8318.0,2385.0,137.0,930013.0,4378.0,212430396.0
Russia,3.0,405843.0,9268.0,4693.0,138.0,171883.0,229267.0,2300.0,2781.0,32.0,10643124.0,72933.0,145929337.0
Spain,4.0,286509.0,201.0,27127.0,2.0,196958.0,62424.0,617.0,6128.0,580.0,4063843.0,86921.0,46753295.0
UK,5.0,274762.0,1936.0,38489.0,113.0,0.0,0.0,1559.0,4049.0,567.0,4285738.0,63159.0,67855909.0
Italy,6.0,232997.0,333.0,33415.0,75.0,157507.0,42075.0,435.0,3853.0,553.0,3878739.0,64144.0,60469020.0
India,7.0,190609.0,8782.0,5408.0,223.0,91852.0,93349.0,8944.0,138.0,4.0,3737027.0,2710.0,1378826256.0
France,8.0,188882.0,257.0,28802.0,31.0,68355.0,91725.0,1319.0,2894.0,441.0,1384633.0,21217.0,65261548.0
Germany,9.0,183494.0,200.0,8605.0,5.0,165200.0,9689.0,702.0,2191.0,103.0,3952971.0,47193.0,83761616.0
Peru,10.0,164476.0,8805.0,4506.0,135.0,67208.0,92762.0,988.0,4995.0,137.0,1058874.0,32154.0,32930962.0
Turkey,11.0,163942.0,839.0,4540.0,25.0,127973.0,31429.0,648.0,1946.0,54.0,2039194.0,24201.0,84259813.0
Iran,12.0,151466.0,2516.0,7797.0,63.0,118848.0,24821.0,2527.0,1805.0,93.0,935894.0,11155.0,83897889.0
Chile,13.0,99688.0,4830.0,1054.0,57.0,42727.0,55907.0,1383.0,5219.0,55.0,582440.0,30491.0,19102061.0
Canada,14.0,90928.0,738.0,7294.0,221.0,48839.0,34795.0,1618.0,2411.0,193.0,1634277.0,43334.0,37713606.0
Mexico,15.0,87512.0,2885.0,9779.0,364.0,61871.0,15862.0,378.0,679.0,76.0,270992.0,2104.0,128814639.0
Saudi Arabia,16.0,85261.0,1877.0,503.0,23.0,62442.0,22316.0,384.0,2452.0,14.0,822769.0,23667.0,34765118.0
Pakistan,17.0,69496.0,3039.0,1483.0,88.0,25271.0,42742.0,111.0,315.0,7.0,547030.0,2481.0,220497647.0
Belgium,18.0,58381.0,195.0,9467.0,14.0,15887.0,33027.0,168.0,5039.0,817.0,866497.0,74792.0,11585389.0
Qatar,19.0,56910.0,1648.0,38.0,2.0,30290.0,26582.0,232.0,19783.0,13.0,222069.0,77197.0,2876643.0
Bangladesh,20.0,47153.0,2545.0,650.0,40.0,9781.0,36722.0,1.0,287.0,4.0,308940.0,1878.0,164546795.0
Netherlands,21.0,46442.0,185.0,5956.0,5.0,0.0,0.0,159.0,2711.0,348.0,349150.0,20380.0,17131732.0
Belarus,22.0,42556.0,898.0,235.0,6.0,18514.0,23807.0,92.0,4503.0,25.0,541093.0,57261.0,9449576.0
Ecuador,23.0,39098.0,527.0,3358.0,24.0,19592.0,16148.0,220.0,2219.0,191.0,117422.0,6665.0,17619020.0
Sweden,24.0,37542.0,429.0,4395.0,0.0,4971.0,28176.0,228.0,3719.0,435.0,238800.0,23658.0,10093917.0
Singapore,25.0,34884.0,518.0,23.0,0.0,21699.0,13162.0,8.0,5967.0,4.0,334691.0,57247.0,5846395.0
UAE,26.0,34557.0,661.0,264.0,2.0,17932.0,16361.0,1.0,3498.0,27.0,2110493.0,213615.0,9879882.0
South Africa,27.0,32683.0,1716.0,683.0,40.0,16809.0,15191.0,128.0,552.0,12.0,725125.0,12240.0,59242648.0
Portugal,28.0,32500.0,297.0,1410.0,14.0,19409.0,11681.0,64.0,3187.0,138.0,795838.0,78030.0,10199093.0
Switzerland,29.0,30862.0,17.0,1920.0,1.0,28400.0,542.0,28.0,3568.0,222.0,397691.0,45980.0,8649211.0
Colombia,30.0,28236.0,0.0,890.0,0.0,7121.0,20225.0,136.0,555.0,18.0,319779.0,6290.0,50835558.0
Kuwait,31.0,27043.0,851.0,212.0,7.0,11386.0,15445.0,200.0,6341.0,50.0,290013.0,68000.0,4264919.0
Indonesia,32.0,26473.0,700.0,1613.0,40.0,7308.0,17552.0,0.0,97.0,6.0,323376.0,1183.0,273271317.0
Ireland,33.0,24990.0,61.0,1652.0,1.0,22089.0,1249.0,36.0,5066.0,335.0,325795.0,66045.0,4932957.0
Egypt,34.0,24985.0,1536.0,959.0,46.0,6037.0,17989.0,41.0,245.0,9.0,135000.0,1321.0,102157382.0
Poland,35.0,23786.0,215.0,1064.0,3.0,11271.0,11451.0,160.0,628.0,28.0,915546.0,24189.0,37849973.0
Ukraine,36.0,23672.0,468.0,708.0,12.0,9538.0,13426.0,278.0,541.0,16.0,356565.0,8149.0,43754416.0
Romania,37.0,19257.0,124.0,1266.0,7.0,13256.0,4735.0,160.0,1000.0,66.0,439197.0,22818.0,19247736.0
Philippines,38.0,18086.0,862.0,957.0,7.0,3909.0,13220.0,73.0,165.0,9.0,347592.0,3176.0,109451714.0
