Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop
China,80928.0,34.0,3245.0,8.0,70420.0,7263.0,2274.0,56.0
Italy,35713.0,0.0,2978.0,0.0,4025.0,28710.0,2257.0,591.0
Iran,17361.0,0.0,1135.0,0.0,5710.0,10516.0,0.0,207.0
Spain,14769.0,0.0,638.0,0.0,1081.0,13050.0,800.0,316.0
Germany,12327.0,0.0,28.0,0.0,105.0,12194.0,2.0,147.0
USA,9385.0,128.0,154.0,4.0,108.0,9123.0,64.0,28.0
France,9134.0,0.0,264.0,0.0,602.0,8268.0,931.0,140.0
S. Korea,8565.0,152.0,91.0,7.0,1947.0,6527.0,59.0,167.0
Switzerland,3115.0,0.0,33.0,0.0,15.0,3067.0,0.0,360.0
UK,2626.0,0.0,104.0,0.0,65.0,2457.0,20.0,39.0
Netherlands,2051.0,0.0,58.0,0.0,2.0,1991.0,45.0,120.0
Austria,1646.0,0.0,4.0,0.0,9.0,1633.0,12.0,183.0
Norway,1591.0,0.0,6.0,0.0,1.0,1584.0,27.0,293.0
Belgium,1486.0,0.0,14.0,0.0,31.0,1441.0,33.0,128.0
Sweden,1301.0,0.0,10.0,0.0,15.0,1276.0,12.0,129.0
Denmark,1057.0,0.0,4.0,0.0,1.0,1052.0,24.0,182.0
Japan,914.0,0.0,29.0,0.0,191.0,694.0,41.0,7.0
Malaysia,790.0,0.0,2.0,0.0,60.0,728.0,15.0,24.0
Canada,727.0,0.0,9.0,0.0,12.0,706.0,1.0,19.0
Diamond Princess,712.0,0.0,7.0,0.0,458.0,247.0,14.0,0.0
Portugal,642.0,0.0,2.0,0.0,4.0,636.0,18.0,63.0
Australia,596.0,0.0,6.0,0.0,43.0,547.0,1.0,23.0
Brazil,529.0,0.0,4.0,0.0,2.0,523.0,18.0,2.0
Czechia,522.0,0.0,0.0,0.0,3.0,519.0,5.0,49.0
Qatar,452.0,0.0,0.0,0.0,4.0,448.0,0.0,157.0
