Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
North America,0.0,6439082.0,64217.0,244054.0,1630.0,3503452.0,28910.0,2691576.0,24257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,5123511.0,50526.0,172506.0,1145.0,3687811.0,37409.0,1263194.0,14840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,0.0,5485452.0,93240.0,117092.0,1457.0,4195027.0,79335.0,1173333.0,18996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,3128369.0,23060.0,202492.0,322.0,1891042.0,11154.0,1034835.0,5181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,1100736.0,11959.0,25132.0,405.0,812686.0,29069.0,262918.0,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,24806.0,398.0,401.0,14.0,15065.0,349.0,9340.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,0.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World,0.0,21302677.0,243400.0,761692.0,4973.0,14105734.0,186226.0,6435251.0,64517.0,2733.0,97.7,0.0,0.0,0.0,0.0,0.0,0.0
USA,1.0,5469255.0,53589.0,171369.0,954.0,2864734.0,21530.0,2433152.0,17216.0,16512.0,517.0,69333768.0,209319.0,331235184.0,61.0,1933.0,5.0
Brazil,2.0,3275520.0,45899.0,106523.0,959.0,2384302.0,27662.0,784695.0,8318.0,15397.0,501.0,13464336.0,63290.0,212739546.0,65.0,1997.0,16.0
India,3.0,2525222.0,65609.0,49134.0,990.0,1807556.0,56920.0,668532.0,8944.0,1828.0,36.0,27694416.0,20045.0,1381604279.0,547.0,28119.0,50.0
Russia,4.0,912823.0,5065.0,15498.0,114.0,722964.0,6568.0,174361.0,2300.0,6255.0,106.0,31903055.0,218601.0,145942116.0,160.0,9417.0,5.0
South Africa,5.0,579140.0,6275.0,11556.0,286.0,461734.0,24117.0,105850.0,539.0,9751.0,195.0,3351111.0,56420.0,59395867.0,103.0,5140.0,18.0
Peru,6.0,507996.0,0.0,25648.0,0.0,348006.0,0.0,134342.0,1525.0,15382.0,777.0,2677014.0,81060.0,33025106.0,65.0,1288.0,12.0
Mexico,7.0,505751.0,7371.0,55293.0,627.0,341507.0,4872.0,108951.0,3675.0,3918.0,428.0,1142045.0,8847.0,129092051.0,255.0,2335.0,113.0
Colombia,8.0,433805.0,0.0,14145.0,0.0,250494.0,0.0,169166.0,1493.0,8515.0,278.0,2063332.0,40500.0,50946629.0,117.0,3602.0,25.0
Chile,9.0,382111.0,2077.0,10340.0,41.0,355037.0,1906.0,16734.0,1252.0,19969.0,540.0,1960210.0,102438.0,19135648.0,50.0,1851.0,10.0
Spain,10.0,358843.0,2987.0,28617.0,12.0,0.0,0.0,0.0,617.0,7675.0,612.0,7472031.0,159806.0,46756994.0,130.0,1634.0,6.0
Iran,11.0,338825.0,2501.0,19331.0,169.0,293811.0,1753.0,25683.0,3956.0,4028.0,230.0,2812488.0,33435.0,84118184.0,248.0,4351.0,30.0
UK,12.0,316367.0,1440.0,41358.0,11.0,0.0,0.0,0.0,80.0,4657.0,609.0,14142736.0,208199.0,67928835.0,215.0,1642.0,5.0
Saudi Arabia,13.0,295902.0,1383.0,3338.0,35.0,262959.0,2566.0,29605.0,1782.0,8484.0,96.0,4071857.0,116751.0,34876295.0,118.0,10448.0,9.0
Pakistan,14.0,287300.0,626.0,6153.0,14.0,265215.0,1155.0,15932.0,774.0,1298.0,28.0,2229409.0,10071.0,221378019.0,771.0,35979.0,99.0
