Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Asia,0.0,778080.0,20156.0,24302.0,339.0,445644.0,308134.0,4941.0,0.0,0.0,0.0,0.0,0.0
North America,0.0,1660308.0,28140.0,101662.0,1641.0,421214.0,1137432.0,17398.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,1761352.0,20223.0,161672.0,1190.0,755525.0,844155.0,11756.0,0.0,0.0,0.0,0.0,0.0
South America,0.0,424547.0,23475.0,22406.0,1103.0,147133.0,255008.0,10423.0,0.0,0.0,0.0,0.0,0.0
Africa,0.0,83363.0,3588.0,2726.0,87.0,32103.0,48534.0,289.0,0.0,0.0,0.0,0.0,0.0
Oceania,0.0,8638.0,17.0,119.0,0.0,7890.0,629.0,16.0,0.0,0.0,0.0,0.0,0.0
0,0.0,721.0,0.0,15.0,0.0,651.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0
World,0.0,4717009.0,95599.0,312902.0,4360.0,1810160.0,2593947.0,44827.0,605.0,40.1,0.0,0.0,0.0
China,1.0,82941.0,8.0,4633.0,0.0,78219.0,89.0,11.0,58.0,3.0,0.0,0.0,1439323776.0
USA,2.0,1507773.0,23488.0,90113.0,1218.0,339232.0,1078428.0,16248.0,4558.0,272.0,11525625.0,34845.0,330764077.0
Spain,3.0,276505.0,2138.0,27563.0,104.0,192253.0,56689.0,1208.0,5914.0,590.0,3037840.0,64977.0,46752605.0
Russia,4.0,272043.0,9200.0,2537.0,119.0,63166.0,206340.0,2300.0,1864.0,17.0,6656340.0,45614.0,145926952.0
UK,5.0,240161.0,3450.0,34466.0,468.0,0.0,0.0,1559.0,3540.0,508.0,2489563.0,36696.0,67842296.0
Brazil,6.0,233142.0,14919.0,15633.0,816.0,89672.0,127837.0,8318.0,1098.0,74.0,735224.0,3462.0,212372688.0
Italy,7.0,224760.0,875.0,31763.0,153.0,122810.0,70187.0,775.0,3717.0,525.0,2944859.0,48698.0,60472408.0
France,8.0,179365.0,0.0,27625.0,96.0,61066.0,90674.0,2132.0,2749.0,423.0,1384633.0,21218.0,65256039.0
Germany,9.0,176244.0,545.0,8027.0,26.0,152600.0,15617.0,1203.0,2104.0,96.0,3147771.0,37585.0,83751395.0
Turkey,10.0,148067.0,1610.0,4096.0,41.0,108137.0,35834.0,906.0,1758.0,49.0,1589625.0,18874.0,84225118.0
Iran,11.0,118392.0,1757.0,6937.0,35.0,93147.0,18308.0,2716.0,1412.0,83.0,672679.0,8022.0,83856767.0
India,12.0,90648.0,4864.0,2871.0,118.0,34224.0,53553.0,0.0,66.0,2.0,2134277.0,1548.0,1378307692.0
Peru,13.0,88541.0,4046.0,2523.0,131.0,28272.0,57746.0,840.0,2690.0,77.0,630482.0,19156.0,32913388.0
Canada,14.0,75864.0,1251.0,5679.0,117.0,37819.0,32366.0,502.0,2012.0,151.0,1265502.0,33567.0,37700962.0
Belgium,15.0,54989.0,345.0,9005.0,46.0,14460.0,31524.0,364.0,4747.0,777.0,663755.0,57302.0,11583464.0
Saudi Arabia,16.0,52016.0,2840.0,302.0,10.0,23666.0,28048.0,166.0,1497.0,9.0,548023.0,15773.0,34744365.0
Mexico,17.0,45032.0,2437.0,4767.0,290.0,30451.0,9814.0,378.0,350.0,37.0,163691.0,1271.0,128762855.0
Netherlands,18.0,43870.0,189.0,5670.0,27.0,0.0,0.0,346.0,2561.0,331.0,287943.0,16809.0,17130286.0
Chile,19.0,41428.0,1886.0,421.0,27.0,18014.0,22993.0,751.0,2169.0,22.0,350325.0,18346.0,19095791.0
Pakistan,20.0,38799.0,1581.0,834.0,31.0,10880.0,27085.0,111.0,176.0,4.0,359264.0,1631.0,220333311.0
Ecuador,21.0,32763.0,1296.0,2688.0,94.0,3433.0,26642.0,197.0,1861.0,153.0,93344.0,5301.0,17608766.0
Qatar,22.0,30972.0,1547.0,15.0,1.0,3788.0,27169.0,158.0,10774.0,5.0,152704.0,53118.0,2874781.0
Switzerland,23.0,30572.0,58.0,1879.0,1.0,27400.0,1293.0,69.0,3536.0,217.0,339364.0,39247.0,8646793.0
Sweden,24.0,29677.0,470.0,3674.0,28.0,4971.0,21032.0,278.0,2941.0,364.0,177500.0,17589.0,10091512.0
Portugal,25.0,28810.0,227.0,1203.0,13.0,3822.0,23785.0,115.0,2824.0,118.0,600061.0,58828.0,10200225.0
