OBJECTID,Place,תאריך,שעות שהייה,x,y
1939925,"רבי עקיבא 123, בני ברק",20/7/2020,מ 2020-07-20 18:00 עד 2020-07-20 19:00,34.836353700000075,32.08574070000003
1939926,"רבי עקיבא 91, בני ברק",20/7/2020,מ 2020-07-20 17:00 עד 2020-07-20 18:00,34.83220700000004,32.08617190000007
1939927,"רבי עקיבא 59, בני ברק",20/7/2020,מ 2020-07-20 16:00 עד 2020-07-20 16:45,34.82926100000003,32.08692860000008
1939928,ג'פניקה עפולה - עפולה,19/7/2020,מ 2020-07-19 15:00 עד 2020-07-19 16:30,35.29735320000003,32.60554640000004
1939929,קניון עזריאלי מודיעין - מודיעין מכבים רעות,22/7/2020,מ 2020-07-22 17:00 עד 2020-07-22 17:30,35.00826580000006,31.899860200000035
1939930,"שדרות התמרים 11, אילת",20/7/2020,מ 2020-07-20 13:00 עד 2020-07-20 15:00,34.95259160000006,29.555192700000077
1939931,מלון פגסוס אילת pegasus hotel - אילת,19/7/2020,מ 2020-07-19 17:00 עד 2020-07-19 18:30,34.95963000000006,29.555589000000055
1939932,הלל יפה - חדרה,18/7/2020,מ 2020-07-19 00:00 עד 2020-07-19 01:30,34.91698780000007,32.43670800000007
1939933,שוק טירה - טירה,19/7/2020,מ 2020-07-19 14:00 עד 2020-07-19 23:30,34.94419810000005,32.229887500000075
1939934,"חיים עוזר 1, פתח תקווה",19/7/2020,מ 2020-07-19 15:00 עד 2020-07-19 16:00,34.886074800000074,32.089937500000076
1939935,חוף תל ברוך - תל אביב יפו,19/7/2020,מ 2020-07-19 18:30 עד 2020-07-19 20:00,34.782471100000066,32.12164820000004
1939936,מגן דוד אדום - בית שמש,19/7/2020,מ 2020-07-19 08:00 עד 2020-07-19 08:30,34.99097500000005,31.748872800000072
1939937,כנסיית ישו הנער סלזיאנית - נצרת,19/7/2020,מ 2020-07-19 18:00 עד 2020-07-19 19:30,35.29488820000006,32.70702460000007
1939938,"מזא""ה 40, תל אביב יפו",20/7/2020,מ 2020-07-20 17:30 עד 2020-07-20 18:00,34.77660050000003,32.06605010000004
1939939,מחסני השוק - Be'er Sheva,20/7/2020,מ 2020-07-20 10:00 עד 2020-07-20 10:30,34.793826300000035,31.239958500000057
1939940,זארה - חולון,20/7/2020,מ 2020-07-20 16:30 עד 2020-07-20 17:00,34.77899740000004,32.01253950000006
