POSTCODE,05-26,06-03,06-04,06-05,06-06,06-07,06-08,06-09,06-10,06-11,06-12,06-13,06-14,06-15,06-17,06-18
85387,17,23,25,28,30,31,31,31,33,33,36,36,36,36,38,40
85362,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
85355,6,12,12,12,12,12,13,13,12,15,19,18,21,21,21,22
85340,36,49,49,56,55,60,62,65,69,73,80,84,93,98,120,135
85388,25,35,36,37,39,41,43,43,52,56,59,63,67,71,79,86
85395,38,52,55,68,80,87,88,88,96,104,119,121,131,137,160,179
85374,46,66,71,82,91,98,96,96,99,108,111,114,115,120,133,138
85343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85338,81,108,118,133,138,154,161,164,179,194,200,207,217,225,265,287
85121,,,,,,,,,,,,,,,,
85339,106,126,138,159,177,192,196,195,206,228,240,258,269,296,349,370
85255,50,63,66,68,70,74,77,79,82,91,99,109,116,120,137,148
85256,,,,,,,,,,,,,,,,
85226,30,39,42,45,48,51,54,54,58,63,71,75,82,84,88,101
85259,16,22,22,28,28,29,32,32,37,40,45,50,53,57,74,77
85249,51,62,62,64,66,68,71,73,77,85,87,90,94,95,105,113
85353,146,174,189,206,224,241,260,271,292,313,345,369,391,399,452,488
85042,84,128,132,152,160,166,185,196,208,215,230,246,264,272,302,340
85043,90,117,129,145,158,168,177,180,194,209,223,246,261,270,328,349
85253,44,46,45,45,45,46,46,48,48,48,52,54,58,60,74,76
85045,6,6,6,11,11,12,12,12,12,12,12,12,13,13,13,15
85308,75,92,94,99,100,102,104,109,128,132,147,149,152,157,190,201
85050,32,37,37,37,39,40,43,43,43,48,52,57,64,67,73,77
85024,15,18,19,23,23,24,29,32,34,37,40,44,49,52,70,70
85041,129,206,221,244,271,298,310,314,338,350,380,404,434,459,545,592
85323,103,145,156,185,196,206,216,220,234,248,262,272,282,289,317,346
85286,51,66,68,74,82,87,89,92,96,98,105,109,113,114,137,143
85260,49,60,62,70,70,72,76,79,83,89,99,107,115,125,144,152
85009,142,191,203,231,251,277,292,304,340,363,386,405,434,449,594,689
85248,56,56,60,69,69,79,81,82,84,87,88,91,99,102,117,129
85345,151,181,186,200,208,223,230,238,251,253,264,277,289,308,355,393
85254,46,64,65,71,74,80,82,83,92,98,108,113,119,123,159,169
85281,88,107,114,119,128,139,148,155,169,181,196,210,222,229,260,284
85375,60,61,63,67,68,68,68,71,71,72,71,72,73,74,76,77
85225,124,207,217,236,247,260,264,277,292,304,328,335,338,346,386,411
85032,120,143,148,167,182,199,205,213,229,240,266,282,292,299,333,343
85379,60,75,79,89,94,99,100,100,105,109,112,113,118,124,144,159
85034,40,42,44,42,42,43,45,48,55,56,54,53,56,57,67,71
85282,66,93,98,105,112,121,128,136,145,156,164,174,185,192,221,233
85022,75,81,83,92,96,99,103,106,114,118,125,128,130,134,154,164
85351,55,62,64,65,68,69,69,69,70,71,73,75,78,80,93,99
85028,25,27,27,29,30,30,32,33,33,33,34,37,37,38,49,52
85027,42,46,47,53,55,55,56,56,58,62,66,68,78,83,97,104
85204,94,122,130,148,157,165,174,184,201,205,219,233,249,256,298,319
85373,16,24,25,26,30,31,31,35,37,37,37,38,39,39,43,45
85008,212,261,281,311,333,346,355,368,388,421,455,462,499,515,593,629
85392,87,118,116,135,139,148,155,161,177,186,192,204,211,218,259,279
85083,17,20,20,23,24,29,31,33,35,38,43,47,49,50,53,60
85018,40,57,58,63,66,69,76,81,86,91,104,110,119,124,151,168
85233,45,57,59,64,67,71,74,77,81,84,90,96,104,109,130,139
85040,62,90,108,121,136,146,151,158,175,179,208,215,224,239,279,294
85382,142,157,160,176,182,183,190,193,196,200,204,209,213,213,224,228
85335,88,103,107,116,117,122,122,124,134,139,148,156,159,166,185,195
85016,82,108,114,122,121,127,135,141,150,154,165,172,179,189,220,308
85258,28,41,41,43,47,51,59,63,63,70,75,79,83,84,93,97
85044,46,56,59,66,70,76,85,87,95,99,100,101,103,108,124,128
85224,187,211,215,220,234,240,242,245,249,254,275,275,279,280,299,313
85301,248,303,322,346,362,379,393,400,437,451,462,493,519,536,612,637
85201,49,86,92,103,105,114,121,123,135,140,149,158,170,178,206,224
85310,20,23,26,27,28,29,30,30,34,34,36,40,43,47,56,63
85307,15,20,21,21,23,23,27,27,25,28,32,34,36,38,48,48
85048,55,62,65,69,71,78,78,80,81,82,88,90,93,94,104,109
85283,96,168,194,227,237,249,259,262,269,269,279,284,291,294,319,337
85020,47,69,67,78,86,89,92,92,101,107,122,126,136,140,157,170
85037,174,206,218,245,258,275,287,297,328,354,375,396,419,433,499,538
85284,13,13,14,15,16,16,19,24,27,32,31,34,35,37,44,47
85029,78,114,114,120,131,140,153,159,165,167,181,184,190,196,227,241
85023,43,66,69,73,74,74,75,79,83,89,95,97,99,106,119,125
85054,14,16,18,15,16,16,18,18,18,19,18,19,19,19,24,27
85251,70,85,86,89,93,101,106,107,114,122,133,148,155,160,183,193
85021,102,124,129,138,143,154,162,166,175,188,205,215,226,235,274,285
85202,169,191,199,211,223,238,242,247,272,283,293,303,309,318,340,355
85210,52,75,78,91,97,106,110,117,131,137,143,155,169,175,198,210
85305,68,95,104,113,123,125,126,129,130,136,146,150,151,157,197,198
85381,45,63,68,70,68,68,68,70,74,79,80,84,90,89,119,120
85051,92,106,111,128,148,158,161,167,182,188,209,221,233,245,293,311
85257,130,136,138,143,145,152,152,153,161,165,167,170,183,186,207,216
85303,116,158,171,181,192,197,202,203,209,216,228,237,247,256,303,325
85033,210,269,290,336,351,361,375,384,417,441,462,487,540,567,646,703
85302,159,203,208,219,228,253,257,259,268,276,290,300,305,310,347,366
85306,27,41,42,43,49,53,53,58,62,64,65,68,69,74,87,98
85304,42,56,61,66,68,69,71,74,75,85,85,87,91,99,119,127
85035,196,254,269,298,326,354,365,378,406,427,453,479,498,511,601,650
85053,55,63,66,71,77,81,84,86,91,97,101,103,103,106,121,127
85017,113,159,166,182,198,213,225,227,246,247,258,271,281,286,328,350
85015,183,227,232,247,251,263,266,268,289,303,322,331,354,368,414,432
85309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85250,6,13,14,15,15,15,15,16,18,22,25,27,28,29,34,39
85378,17,23,24,26,28,28,29,28,30,32,33,34,36,36,41,43
85007,73,81,82,87,88,92,96,102,109,116,129,140,147,149,184,199
85031,101,123,131,150,159,173,178,182,198,206,221,234,255,272,332,366
85014,93,124,123,139,145,157,179,181,180,190,198,208,227,246,257,280
85006,52,70,81,92,103,125,126,132,138,135,144,155,166,168,189,195
85013,50,63,67,63,70,73,75,76,84,89,92,96,98,99,111,122
85019,78,110,110,129,132,151,154,160,184,192,205,221,234,243,286,298
85012,15,18,19,21,22,25,26,27,28,29,28,29,30,31,40,51
85003,25,28,32,38,38,39,39,40,42,41,42,42,42,44,51,55
85004,23,25,26,27,29,30,30,30,32,30,32,36,36,37,45,50
85363,80,88,92,95,96,97,98,98,102,102,106,109,109,107,112,114
85329,6,1,1,6,6,6,6,14,15,17,18,19,21,22,26,25
85287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85118,15,16,16,19,19,19,19,19,21,23,24,26,26,26,32,31
85173,1,1,1,1,1,1,1,1,1,1,6,6,6,12,16,17
85142,84,96,97,101,104,102,108,113,114,121,122,129,129,133,159,163
85147,,,,,,,,,,,,,,,,
85215,19,24,24,24,23,23,23,24,27,27,29,29,31,32,35,38
85264,,,,,,,,,,,,,,,,
85140,53,60,62,67,68,70,74,76,79,82,82,85,85,86,89,91
85143,55,69,71,73,80,81,81,81,82,88,87,94,94,99,111,119
85119,25,26,28,28,29,31,31,32,35,39,39,41,42,46,51,52
85207,53,61,64,67,72,75,76,76,78,79,83,85,88,90,101,111
85212,35,41,45,47,47,51,51,50,55,56,66,69,70,71,75,83
85120,32,39,41,44,45,51,51,50,54,56,61,66,66,70,76,82
85268,31,33,33,32,33,36,36,37,37,37,38,43,47,47,49,52
85298,42,53,54,56,57,58,60,64,65,68,68,72,74,76,80,85
85295,51,62,61,69,72,73,73,76,80,82,91,94,98,100,109,116
85234,48,55,57,60,64,65,68,72,77,81,90,91,95,98,105,105
85296,37,42,43,45,47,52,55,59,60,68,73,77,80,77,96,106
85297,55,62,62,64,65,69,72,72,73,76,78,79,80,82,88,92
85209,90,112,111,118,122,121,123,123,122,124,131,134,139,138,151,158
85203,76,79,81,90,93,98,100,102,102,110,115,121,126,128,145,157
85205,82,92,92,92,94,96,97,98,104,105,109,113,118,121,138,148
85206,193,210,210,218,223,228,236,240,238,258,267,276,283,300,314,333
85213,28,36,35,39,42,49,53,53,55,57,59,61,63,73,89,90
85208,41,46,47,50,55,55,56,59,62,68,70,75,81,81,88,91
85541,6,6,6,6,6,11,11,11,11,13,14,13,14,23,28,30
86333,13,15,15,16,16,16,16,16,17,17,18,18,18,18,18,18
85324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85262,13,15,15,16,16,16,16,16,16,18,18,19,21,21,22,22
85331,20,24,24,25,26,28,31,31,32,36,36,40,41,43,50,53
85383,50,66,66,72,74,79,80,80,88,99,105,110,120,121,145,151
85553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85087,6,6,6,6,6,6,6,6,6,6,6,6,12,13,15,16
85544,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85086,41,46,46,50,52,57,58,63,67,71,76,77,80,84,99,101
85085,21,25,25,27,30,34,34,35,37,40,46,51,56,59,67,70
85266,6,6,6,11,11,11,11,11,12,13,14,14,14,15,16,19
85263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85377,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
